"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TraesCS1A03G0004000",0.396727543210075,6.165189069404,2.18082755575817,0.0573925696986226,0.117644011257285,-5.09247231615166
"TraesCS1A03G0015700",-0.324615667748689,2.91736099234378,-1.15560497600709,0.277888245065913,0.387572387365572,-6.43557910187609
"TraesCS1A03G0016300",-2.89891938403323,4.97890746979926,-8.75443867208638,1.14205942963514e-05,0.000507951380643852,3.80323225742646
"TraesCS1A03G0022200",-0.301818706291418,2.13623235624313,-1.49017806400613,0.170698909499077,0.267311238699742,-5.87077766517076
"TraesCS1A03G0027700",-0.0277137975814615,0.893828682637989,-0.104092490464521,0.919401214090114,0.944069479504674,-6.54300452477295
"TraesCS1A03G0031500",0.170105270880283,3.57089771073148,1.0257782819042,0.332035989525243,0.443387325278771,-6.6602134303181
"TraesCS1A03G0031600",3.2539941869501,1.37499738906158,2.90553271884673,0.0176174662143016,0.0489754415501056,-3.09480150779881
"TraesCS1A03G0033900",-0.908743504279379,6.70069550259793,-4.74679932021082,0.00107822915610178,0.00687741396406234,-0.920812589690962
"TraesCS1A03G0037000",0.87543809039881,3.44729504761436,6.86010399236205,7.75556523863178e-05,0.00135835551168862,1.79836564422283
"TraesCS1A03G0037100",-0.868959764190716,4.35340861485573,-5.15243790693475,0.000620511389098329,0.00479567861837815,-0.5035825540268
"TraesCS1A03G0037300",-1.25307868598076,0.377911986403061,-2.30392212510979,0.0469754113627811,0.101165281655858,-4.18742704958533
"TraesCS1A03G0037900",-1.09044913663801,4.04883916282887,-3.61832164267962,0.0056793778401352,0.0216982036780076,-2.82065838042826
"TraesCS1A03G0039500",0.290708796695923,2.38584451313463,1.29485670126917,0.227913551044506,0.333422309262423,-6.1403397929333
"TraesCS1A03G0043500",0.511457696446944,2.87599742600312,2.8987260172827,0.0178128147347638,0.0493322277527229,-3.81626265339445
"TraesCS1A03G0044000",0.296401273647967,2.95295981008179,1.75509887576531,0.113469094595028,0.196112338797194,-5.64167944226918
