gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	763	1204	831	1417	1008	1570	63.3720930232558	58.6450247000706	64.203821656051	A	conserved_mC	Conserved
TraesCS1A03G0005200	2780	3979	3082	4095	3509	4868	69.8668007036944	75.2625152625153	72.0829909613805	A	conserved_mC	Conserved
TraesCS1A03G0037900	907	1223	1065	1325	1258	1676	74.1618969746525	80.377358490566	75.0596658711217	A	conserved_mC	Trans only
TraesCS1A03G0056600	546	862	524	944	500	818	63.3410672853828	55.5084745762712	61.1246943765281	A	conserved_mC	Conserved
TraesCS1A03G0057500	308	906	260	748	224	644	33.9955849889625	34.7593582887701	34.7826086956522	A	conserved_mC	Conserved
TraesCS1A03G0057600	633	683	645	706	762	905	92.6793557833089	91.3597733711048	84.1988950276243	A	conserved_mC	Conserved
TraesCS1A03G0059400	863	1582	698	1633	687	1884	54.551201011378	42.7434170238824	36.4649681528662	A	additive	Trans only
TraesCS1A03G0059700	1041	1435	952	1279	1041	1423	72.5435540069687	74.43315089914	73.1553056921996	A	conserved_mC	Conserved
TraesCS1A03G0066600	698	870	544	683	394	553	80.2298850574713	79.6486090775988	71.24773960217	A	conserved_mC	Trans only
TraesCS1A03G0067500	357	1419	169	1067	338	1457	25.1585623678647	15.8388003748829	23.1983527796843	A	underdominant	Conserved
TraesCS1A03G0068200	360	926	396	1194	315	719	38.8768898488121	33.1658291457286	43.8108484005563	A	underdominant	Conserved
TraesCS1A03G0069100	35	633	32	396	7	262	5.52922590837283	8.08080808080808	2.67175572519084	A	conserved_mC	Trans only
TraesCS1A03G0069300	634	954	744	1038	613	811	66.4570230607967	71.6763005780347	75.5856966707768	A	conserved_mC	Conserved
TraesCS1A03G0074000	80	3571	106	4445	86	4047	2.24026883225987	2.38470191226097	2.12503088707685	A	conserved_mC	Conserved
TraesCS1A03G0082100	65	2203	49	1848	46	2133	2.9505220154335	2.65151515151515	2.15658696671355	A	conserved_mC	Conserved
TraesCS1A03G0093500	399	932	336	836	254	578	42.8111587982833	40.1913875598086	43.9446366782007	A	conserved_mC	Conserved
TraesCS1A03G0096600	37	544	37	579	32	548	6.80147058823529	6.39032815198618	5.83941605839416	A	conserved_mC	Conserved
