gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	98	253	115	296	137	339	38.7351778656127	38.8513513513514	40.4129793510325	A	conserved_mC	Conserved
TraesCS1A03G0005200	262	316	281	353	351	465	82.9113924050633	79.6033994334278	75.4838709677419	A	conserved_mC	Conserved
TraesCS1A03G0037900	144	554	175	601	248	785	25.9927797833935	29.1181364392679	31.5923566878981	A	conserved_mC	Trans only
TraesCS1A03G0056600	233	286	160	242	216	354	81.4685314685315	66.1157024793388	61.0169491525424	A	P_dominant	Conserved
TraesCS1A03G0057500	172	449	133	265	106	350	38.3073496659243	50.188679245283	30.2857142857143	A	overdominant	Conserved
TraesCS1A03G0057600	32	801	35	797	30	648	3.99500624219725	4.39146800501882	4.62962962962963	A	conserved_mC	Conserved
TraesCS1A03G0059400	102	198	105	194	51	106	51.5151515151515	54.1237113402062	48.1132075471698	A	conserved_mC	Trans only
TraesCS1A03G0059700	346	904	285	604	140	435	38.2743362831858	47.1854304635762	32.183908045977	A	overdominant	Conserved
TraesCS1A03G0066600	4	192	4	151	2	52	2.08333333333333	2.64900662251656	3.84615384615385	A	conserved_mC	Trans only
TraesCS1A03G0068200	2	176	3	122	1	70	1.13636363636364	2.45901639344262	1.42857142857143	A	conserved_mC	Conserved
TraesCS1A03G0069100	55	57	54	58	1	20	96.4912280701754	93.1034482758621	5	A	CS_dominant	Trans only
TraesCS1A03G0074000	133	1374	154	1175	191	1512	9.67976710334789	13.1063829787234	12.6322751322751	A	conserved_mC	Conserved
TraesCS1A03G0082100	73	1172	85	1353	41	1369	6.22866894197952	6.28233555062823	2.99488677867056	A	conserved_mC	Conserved
TraesCS1A03G0093500	136	152	72	92	60	114	89.4736842105263	78.2608695652174	52.6315789473684	A	additive	Conserved
TraesCS1A03G0096600	17	861	12	789	19	1000	1.97444831591173	1.52091254752852	1.9	A	conserved_mC	Conserved
TraesCS1A03G0096700	43	57	20	35	12	31	75.4385964912281	57.1428571428572	38.7096774193548	A	additive	Conserved
