gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	15	882	18	950	20	1130	1.70068027210884	1.89473684210526	1.76991150442478	A	conserved_mC	Conserved
TraesCS1A03G0005200	43	2144	52	2267	53	2704	2.00559701492537	2.29378032642259	1.96005917159763	A	conserved_mC	Conserved
TraesCS1A03G0037900	34	2045	42	2289	58	2641	1.66259168704157	1.8348623853211	2.19613782658084	A	conserved_mC	Trans only
TraesCS1A03G0056600	7	452	8	458	19	470	1.54867256637168	1.74672489082969	4.04255319148936	A	conserved_mC	Conserved
TraesCS1A03G0057500	8	638	10	529	13	470	1.25391849529781	1.89035916824197	2.76595744680851	A	conserved_mC	Conserved
TraesCS1A03G0057600	23	847	25	990	33	1274	2.71546635182999	2.52525252525253	2.59026687598116	A	conserved_mC	Conserved
TraesCS1A03G0059400	37	2007	42	2044	55	2307	1.8435475834579	2.05479452054795	2.3840485478977	A	conserved_mC	Trans only
TraesCS1A03G0059700	21	1503	29	1357	27	1441	1.39720558882236	2.13706705969049	1.87369882026371	A	conserved_mC	Conserved
TraesCS1A03G0066600	21	967	14	763	20	641	2.17166494312306	1.8348623853211	3.1201248049922	A	conserved_mC	Trans only
TraesCS1A03G0067500	6	315	6	241	6	291	1.9047619047619	2.4896265560166	2.06185567010309	A	conserved_mC	Conserved
TraesCS1A03G0068200	7	539	10	648	10	468	1.2987012987013	1.54320987654321	2.13675213675214	A	conserved_mC	Conserved
TraesCS1A03G0069100	6	233	6	195	3	132	2.57510729613734	3.07692307692308	2.27272727272727	A	conserved_mC	Trans only
TraesCS1A03G0069300	8	444	13	573	16	451	1.8018018018018	2.26876090750436	3.54767184035477	A	conserved_mC	Conserved
TraesCS1A03G0074000	20	818	11	977	11	899	2.44498777506113	1.12589559877175	1.22358175750834	A	conserved_mC	Conserved
TraesCS1A03G0082100	15	654	5	546	18	661	2.29357798165138	0.915750915750916	2.7231467473525	A	conserved_mC	Conserved
TraesCS1A03G0093500	17	654	8	542	5	381	2.59938837920489	1.4760147601476	1.31233595800525	A	conserved_mC	Conserved
TraesCS1A03G0096600	7	195	7	242	17	220	3.58974358974359	2.89256198347107	7.72727272727273	A	conserved_mC	Conserved
TraesCS1A03G0096700	23	1578	23	1611	26	1728	1.4575411913815	1.42768466790813	1.50462962962963	A	conserved_mC	Conserved
TraesCS1A03G0103400	13	614	12	549	14	691	2.11726384364821	2.18579234972678	2.0260492040521	A	conserved_mC	Cis only
TraesCS1A03G0111400	15	1134	23	923	13	1037	1.32275132275132	2.49187432286024	1.25361620057859	A	conserved_mC	Conserved
TraesCS1A03G0114700	12	636	11	692	12	567	1.88679245283019	1.58959537572254	2.11640211640212	A	conserved_mC	Conserved
TraesCS1A03G0127500	5	373	9	448	4	398	1.34048257372654	2.00892857142857	1.00502512562814	A	conserved_mC	Compensatory
TraesCS1A03G0127800	4	130	1	95	7	160	3.07692307692308	1.05263157894737	4.375	A	conserved_mC	Conserved
TraesCS1A03G0141400	18	808	30	963	29	1010	2.22772277227723	3.11526479750779	2.87128712871287	A	conserved_mC	Conserved
TraesCS1A03G0143500	16	584	9	643	13	513	2.73972602739726	1.39968895800933	2.53411306042885	A	conserved_mC	Conserved
TraesCS1A03G0148800	140	439	105	406	98	577	31.8906605922551	25.8620689655172	16.9844020797227	A	additive	Trans only
TraesCS1A03G0166400	7	288	3	301	6	399	2.43055555555556	0.996677740863787	1.50375939849624	A	conserved_mC	Conserved
TraesCS1A03G0172300	16	720	8	638	11	585	2.22222222222222	1.25391849529781	1.88034188034188	A	conserved_mC	Conserved
TraesCS1A03G0200700	2	112	1	70	0	91	1.78571428571429	1.42857142857143	0	A	conserved_mC	Trans only
TraesCS1A03G0207500	8	546	4	464	13	568	1.46520146520147	0.862068965517241	2.2887323943662	A	conserved_mC	Conserved
TraesCS1A03G0213700	36	1986	23	1706	32	2080	1.81268882175227	1.34818288393904	1.53846153846154	A	conserved_mC	Conserved
TraesCS1A03G0233900	24	1487	27	1367	39	1839	1.61398789509079	1.97512801755669	2.12071778140294	A	conserved_mC	Conserved
TraesCS1A03G0273000	1	116	5	109	16	156	0.862068965517241	4.58715596330275	10.2564102564103	A	conserved_mC	Conserved
TraesCS1A03G0329700	32	1603	24	1576	36	1868	1.99625701809108	1.52284263959391	1.9271948608137	A	conserved_mC	Conserved
TraesCS1A03G0364800	46	1861	50	1919	73	2241	2.47178936055884	2.60552371026576	3.25747434181169	A	conserved_mC	Conserved
TraesCS1A03G0393700	15	881	28	1042	33	1320	1.70261066969353	2.68714011516315	2.5	A	conserved_mC	Conserved
TraesCS1A03G0397700	14	998	16	1287	20	1207	1.40280561122245	1.24320124320124	1.65700082850041	A	conserved_mC	Conserved
TraesCS1A03G0403100	26	1002	14	928	18	1111	2.59481037924152	1.50862068965517	1.62016201620162	A	conserved_mC	Conserved
TraesCS1A03G0404300	16	855	15	890	22	992	1.87134502923977	1.68539325842697	2.21774193548387	A	conserved_mC	Conserved
TraesCS1A03G0405800	21	893	13	802	18	943	2.35162374020157	1.62094763092269	1.90880169671262	A	conserved_mC	Conserved
TraesCS1A03G0407000	11	328	5	361	5	365	3.35365853658537	1.38504155124654	1.36986301369863	A	conserved_mC	Conserved
TraesCS1A03G0408100	37	1758	39	1853	38	2179	2.10466439135381	2.10469508904479	1.74391922900413	A	conserved_mC	Conserved
TraesCS1A03G0409400	63	4218	70	3745	96	4550	1.49359886201991	1.86915887850467	2.10989010989011	A	conserved_mC	Conserved
TraesCS1A03G0413200	22	879	13	930	7	850	2.5028441410694	1.39784946236559	0.823529411764706	A	conserved_mC	Conserved
TraesCS1A03G0413800	43	2286	38	2327	58	2762	1.88101487314086	1.63300386764074	2.09992758870384	A	conserved_mC	Conserved
TraesCS1A03G0413900	19	927	16	925	15	959	2.04962243797195	1.72972972972973	1.56412930135558	A	conserved_mC	Conserved
TraesCS1A03G0414800	40	2201	48	2156	59	2645	1.81735574738755	2.22634508348794	2.23062381852552	A	conserved_mC	Conserved
TraesCS1A03G0419500	3	197	1	112	5	91	1.52284263959391	0.892857142857143	5.4945054945055	A	conserved_mC	Conserved
TraesCS1A03G0420300	21	1189	30	1271	25	1154	1.76619007569386	2.360346184107	2.16637781629116	A	conserved_mC	Conserved
TraesCS1A03G0420500	18	1119	18	1089	30	1462	1.60857908847185	1.65289256198347	2.05198358413133	A	conserved_mC	Conserved
TraesCS1A03G0426600	5	269	9	274	7	294	1.85873605947955	3.28467153284672	2.38095238095238	A	conserved_mC	Conserved
TraesCS1A03G0428600	36	1609	36	1540	48	1956	2.23741454319453	2.33766233766234	2.45398773006135	A	conserved_mC	Conserved
TraesCS1A03G0429000	0	121	1	99	4	145	0	1.01010101010101	2.75862068965517	A	conserved_mC	Conserved
TraesCS1A03G0433600	49	2927	35	2837	78	3235	1.67406901264093	1.23369756785337	2.41112828438949	A	conserved_mC	Conserved
TraesCS1A03G0435700	5	338	5	301	4	321	1.4792899408284	1.66112956810631	1.24610591900312	A	conserved_mC	Conserved
TraesCS1A03G0438300	25	1088	20	1082	13	1097	2.29779411764706	1.84842883548983	1.18505013673655	A	conserved_mC	Conserved
TraesCS1A03G0451800	66	3072	50	3275	60	3529	2.1484375	1.52671755725191	1.70019835647492	A	conserved_mC	Conserved
TraesCS1A03G0455800	27	1604	29	1647	35	1943	1.68329177057357	1.76077717061324	1.8013381369017	A	conserved_mC	Conserved
TraesCS1A03G0455900	10	451	12	486	17	412	2.21729490022173	2.46913580246914	4.12621359223301	A	conserved_mC	Conserved
TraesCS1A03G0457400	11	600	13	586	9	726	1.83333333333333	2.21843003412969	1.2396694214876	A	conserved_mC	Conserved
TraesCS1A03G0460000	35	2500	44	2548	50	2765	1.4	1.72684458398744	1.80831826401447	A	conserved_mC	Conserved
TraesCS1A03G0460400	35	1781	35	1696	34	2317	1.96518809657496	2.06367924528302	1.46741476046612	A	conserved_mC	Conserved
TraesCS1A03G0461600	33	1707	17	1547	40	1914	1.93321616871705	1.0989010989011	2.08986415882968	A	conserved_mC	Conserved
TraesCS1A03G0464100	21	809	20	718	28	910	2.59579728059333	2.78551532033426	3.07692307692308	A	conserved_mC	Conserved
TraesCS1A03G0465100	8	531	3	513	17	618	1.50659133709981	0.584795321637427	2.75080906148867	A	conserved_mC	Conserved
TraesCS1A03G0471200	39	1694	36	1648	43	1679	2.30224321133412	2.18446601941748	2.56104824300179	A	conserved_mC	Conserved
TraesCS1A03G0473800	49	2992	45	2856	53	3354	1.63770053475936	1.57563025210084	1.58020274299344	A	conserved_mC	Conserved
