gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	53	210	68	248	86	259	25.2380952380952	27.4193548387097	33.2046332046332	A	conserved_mC	Conserved
TraesCS1A03G0005200	66	386	88	461	135	594	17.0984455958549	19.0889370932755	22.7272727272727	A	conserved_mC	Conserved
TraesCS1A03G0037900	34	494	68	512	121	648	6.88259109311741	13.28125	18.6728395061728	A	conserved_mC	Trans only
TraesCS1A03G0056600	21	120	14	105	17	146	17.5	13.3333333333333	11.6438356164384	A	conserved_mC	Conserved
TraesCS1A03G0057500	24	341	29	188	16	277	7.03812316715543	15.4255319148936	5.77617328519856	A	overdominant	Conserved
TraesCS1A03G0057600	3	259	3	216	3	188	1.15830115830116	1.38888888888889	1.59574468085106	A	conserved_mC	Conserved
TraesCS1A03G0059400	12	84	13	77	10	39	14.2857142857143	16.8831168831169	25.6410256410256	A	conserved_mC	Trans only
TraesCS1A03G0059700	87	462	61	311	29	240	18.8311688311688	19.6141479099678	12.0833333333333	A	conserved_mC	Conserved
TraesCS1A03G0066600	2	136	2	98	2	33	1.47058823529412	2.04081632653061	6.06060606060606	A	conserved_mC	Trans only
TraesCS1A03G0068200	1	108	0	85	0	34	0.925925925925926	0	0	A	conserved_mC	Conserved
TraesCS1A03G0074000	15	490	14	412	23	529	3.06122448979592	3.39805825242718	4.34782608695652	A	conserved_mC	Conserved
TraesCS1A03G0082100	11	647	16	764	28	810	1.70015455950541	2.09424083769634	3.45679012345679	A	conserved_mC	Conserved
TraesCS1A03G0093500	30	32	18	18	11	26	93.75	100	42.3076923076923	A	CS_dominant	Conserved
TraesCS1A03G0096600	3	360	3	335	9	425	0.833333333333333	0.895522388059702	2.11764705882353	A	conserved_mC	Conserved
TraesCS1A03G0096700	65	74	34	52	28	53	87.8378378378378	65.3846153846154	52.8301886792453	A	additive	Conserved
TraesCS1A03G0103400	30	201	79	382	72	223	14.9253731343284	20.6806282722513	32.2869955156951	A	additive	Cis only
TraesCS1A03G0111400	6	507	12	519	19	450	1.18343195266272	2.3121387283237	4.22222222222222	A	conserved_mC	Conserved
TraesCS1A03G0114700	22	349	26	326	37	250	6.30372492836676	7.97546012269939	14.8	A	conserved_mC	Conserved
TraesCS1A03G0127500	42	448	54	298	50	221	9.375	18.1208053691275	22.6244343891403	A	conserved_mC	Compensatory
TraesCS1A03G0127800	8	272	23	331	4	232	2.94117647058824	6.94864048338369	1.72413793103448	A	conserved_mC	Conserved
TraesCS1A03G0141400	150	337	115	299	135	376	44.5103857566766	38.4615384615385	35.9042553191489	A	conserved_mC	Conserved
TraesCS1A03G0143500	0	39	1	51	0	34	0	1.96078431372549	0	A	conserved_mC	Conserved
TraesCS1A03G0148800	150	167	184	211	98	108	89.8203592814371	87.2037914691943	90.7407407407407	A	conserved_mC	Trans only
TraesCS1A03G0166400	68	299	60	350	73	459	22.742474916388	17.1428571428571	15.9041394335512	A	conserved_mC	Conserved
TraesCS1A03G0172300	134	374	137	316	161	339	35.8288770053476	43.3544303797468	47.4926253687316	A	conserved_mC	Conserved
TraesCS1A03G0200700	51	577	27	455	45	555	8.83882149046794	5.93406593406593	8.10810810810811	A	conserved_mC	Trans only
TraesCS1A03G0207500	83	357	72	393	14	645	23.249299719888	18.3206106870229	2.17054263565891	A	CS_dominant	Conserved
TraesCS1A03G0213700	108	425	78	436	123	393	25.4117647058824	17.8899082568807	31.2977099236641	A	underdominant	Conserved
TraesCS1A03G0233900	89	232	175	288	188	343	38.3620689655172	60.7638888888889	54.8104956268222	A	P_dominant	Conserved
TraesCS1A03G0273000	57	362	49	414	65	557	15.7458563535912	11.8357487922705	11.6696588868941	A	conserved_mC	Conserved
TraesCS1A03G0329700	143	268	144	225	194	328	53.3582089552239	64	59.1463414634146	A	overdominant	Conserved
TraesCS1A03G0364800	209	302	204	284	324	416	69.205298013245	71.830985915493	77.8846153846154	A	conserved_mC	Conserved
TraesCS1A03G0393700	188	282	235	358	202	368	66.6666666666667	65.6424581005587	54.8913043478261	A	CS_dominant	Conserved
TraesCS1A03G0397700	104	446	67	367	85	479	23.3183856502242	18.2561307901907	17.7453027139875	A	conserved_mC	Conserved
TraesCS1A03G0403100	115	366	105	403	120	448	31.4207650273224	26.0545905707196	26.7857142857143	A	conserved_mC	Conserved
TraesCS1A03G0404300	49	560	52	521	38	603	8.75	9.98080614203455	6.30182421227197	A	conserved_mC	Conserved
TraesCS1A03G0405800	115	201	89	163	87	164	57.2139303482587	54.601226993865	53.0487804878049	A	conserved_mC	Conserved
TraesCS1A03G0407000	11	687	11	606	22	754	1.60116448326055	1.81518151815182	2.91777188328912	A	conserved_mC	Conserved
TraesCS1A03G0408100	124	220	101	224	168	305	56.3636363636364	45.0892857142857	55.0819672131148	A	underdominant	Conserved
TraesCS1A03G0409400	314	379	418	521	363	471	82.8496042216359	80.2303262955854	77.0700636942675	A	conserved_mC	Conserved
TraesCS1A03G0413200	56	97	34	73	44	109	57.7319587628866	46.5753424657534	40.3669724770642	A	additive	Conserved
TraesCS1A03G0413800	1	40	0	26	1	35	2.5	0	2.85714285714286	A	conserved_mC	Conserved
TraesCS1A03G0413900	0	38	1	13	3	45	0	7.69230769230769	6.66666666666667	A	conserved_mC	Conserved
TraesCS1A03G0414800	166	231	190	293	208	349	71.8614718614719	64.8464163822526	59.5988538681949	A	conserved_mC	Conserved
TraesCS1A03G0419500	50	264	44	369	34	366	18.9393939393939	11.9241192411924	9.2896174863388	A	conserved_mC	Conserved
TraesCS1A03G0420300	109	346	196	423	125	309	31.5028901734104	46.3356973995272	40.453074433657	A	P_dominant	Conserved
TraesCS1A03G0420500	6	618	17	813	12	878	0.970873786407767	2.0910209102091	1.36674259681093	A	conserved_mC	Conserved
TraesCS1A03G0426600	54	420	71	377	68	465	12.8571428571429	18.8328912466844	14.6236559139785	A	conserved_mC	Conserved
TraesCS1A03G0428600	122	287	176	330	177	317	42.5087108013937	53.3333333333333	55.8359621451104	A	P_dominant	Conserved
TraesCS1A03G0429000	37	537	98	369	103	414	6.8901303538175	26.5582655826558	24.8792270531401	A	P_dominant	Conserved
TraesCS1A03G0433600	206	344	233	339	310	467	59.8837209302326	68.7315634218289	66.3811563169165	A	conserved_mC	Conserved
TraesCS1A03G0435700	146	330	152	285	169	371	44.2424242424243	53.3333333333333	45.5525606469003	A	overdominant	Conserved
TraesCS1A03G0438300	59	186	54	160	55	212	31.7204301075269	33.75	25.9433962264151	A	conserved_mC	Conserved
TraesCS1A03G0451800	143	279	151	313	146	289	51.2544802867384	48.2428115015975	50.5190311418685	A	conserved_mC	Conserved
TraesCS1A03G0455800	110	332	111	249	177	376	33.1325301204819	44.5783132530121	47.0744680851064	A	P_dominant	Conserved
TraesCS1A03G0455900	274	573	229	409	369	560	47.8184991273997	55.9902200488998	65.8928571428571	A	additive	Conserved
TraesCS1A03G0457400	126	256	82	196	103	247	49.21875	41.8367346938776	41.7004048582996	A	conserved_mC	Conserved
TraesCS1A03G0460000	82	395	88	467	93	462	20.7594936708861	18.8436830835118	20.1298701298701	A	conserved_mC	Conserved
TraesCS1A03G0460400	205	414	304	438	261	360	49.5169082125604	69.4063926940639	72.5	A	P_dominant	Conserved
TraesCS1A03G0461600	148	350	145	311	200	437	42.2857142857143	46.6237942122187	45.766590389016	A	conserved_mC	Conserved
