gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	64	3630	77	3741	96	4473	1.76308539944904	2.0582731889869	2.14621059691482	A	conserved_mC	Conserved
TraesCS1A03G0005200	176	8279	183	8741	193	9877	2.12586061118493	2.09358197002631	1.95403462589855	A	conserved_mC	Conserved
TraesCS1A03G0037900	138	7405	151	8786	204	9708	1.86360567184335	1.71864329615297	2.10135970333745	A	conserved_mC	Trans only
TraesCS1A03G0056600	44	2346	42	2475	64	2648	1.87553282182438	1.6969696969697	2.41691842900302	A	conserved_mC	Conserved
TraesCS1A03G0057500	35	2113	32	1831	37	1671	1.65641268338855	1.74767886400874	2.21424296828247	A	conserved_mC	Conserved
TraesCS1A03G0057600	47	3415	66	3764	102	4695	1.37628111273792	1.75345377258236	2.17252396166134	A	conserved_mC	Conserved
TraesCS1A03G0059400	139	6692	149	6941	140	8014	2.07710699342499	2.14666474571387	1.74694285001248	A	conserved_mC	Trans only
TraesCS1A03G0059700	118	5511	74	4905	113	5597	2.14117220105244	1.50866462793068	2.01893871716991	A	conserved_mC	Conserved
TraesCS1A03G0066600	76	2914	74	2673	40	2120	2.60809883321894	2.76842499064721	1.88679245283019	A	conserved_mC	Trans only
TraesCS1A03G0067500	15	773	30	646	18	835	1.94049159120311	4.64396284829721	2.15568862275449	A	conserved_mC	Conserved
TraesCS1A03G0068200	46	1884	62	2227	60	1967	2.4416135881104	2.78401436910642	3.05033045246568	A	conserved_mC	Conserved
TraesCS1A03G0069100	11	557	5	528	8	466	1.97486535008977	0.946969696969697	1.71673819742489	A	conserved_mC	Trans only
TraesCS1A03G0069300	33	2127	55	2645	31	2058	1.55148095909732	2.07939508506616	1.50631681243926	A	conserved_mC	Conserved
TraesCS1A03G0074000	52	3094	70	3829	82	3546	1.68067226890756	1.82815356489945	2.31246474901297	A	conserved_mC	Conserved
TraesCS1A03G0082100	41	1850	28	1515	46	1797	2.21621621621622	1.84818481848185	2.55982192543127	A	conserved_mC	Conserved
TraesCS1A03G0093500	52	2987	52	2662	39	1931	1.74087713424841	1.9534184823441	2.01967892283791	A	conserved_mC	Conserved
TraesCS1A03G0096600	12	889	32	1138	12	1027	1.34983127109111	2.81195079086116	1.16845180136319	A	conserved_mC	Conserved
TraesCS1A03G0096700	80	5082	100	5398	122	5752	1.57418339236521	1.85253797702853	2.12100139082058	A	conserved_mC	Conserved
TraesCS1A03G0103400	34	1740	41	1788	67	2163	1.95402298850575	2.29306487695749	3.09754969949145	A	conserved_mC	Cis only
TraesCS1A03G0111400	57	4413	58	3442	76	4116	1.29163834126445	1.68506682161534	1.84645286686103	A	conserved_mC	Conserved
TraesCS1A03G0114700	57	3060	52	3339	46	2642	1.86274509803922	1.55735250074873	1.74110522331567	A	conserved_mC	Conserved
