gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0004900	27	1034	33	1086	37	1192	2.61121856866538	3.03867403314917	3.10402684563758	A	conserved_mC	Conserved
TraesCS1A03G0005200	195	2294	214	2493	227	2849	8.50043591979076	8.58403529883674	7.96770796770797	A	conserved_mC	Conserved
TraesCS1A03G0037900	71	2883	81	3149	96	4077	2.46271245230663	2.57224515719276	2.35467255334805	A	conserved_mC	Trans only
TraesCS1A03G0056600	29	1424	32	1153	65	1629	2.03651685393258	2.77536860364267	3.99017802332719	A	conserved_mC	Conserved
TraesCS1A03G0057500	82	1931	53	1346	53	1666	4.24650440186432	3.93759286775632	3.1812725090036	A	conserved_mC	Conserved
TraesCS1A03G0057600	35	1057	39	937	21	811	3.3112582781457	4.16221985058698	2.58939580764488	A	conserved_mC	Conserved
TraesCS1A03G0059400	19	470	11	476	13	282	4.04255319148936	2.3109243697479	4.60992907801419	A	conserved_mC	Trans only
TraesCS1A03G0059700	58	1904	50	1255	21	1095	3.04621848739496	3.98406374501992	1.91780821917808	A	conserved_mC	Conserved
TraesCS1A03G0066600	8	328	1	204	3	76	2.4390243902439	0.490196078431373	3.94736842105263	A	conserved_mC	Trans only
TraesCS1A03G0068200	6	328	6	275	2	136	1.82926829268293	2.18181818181818	1.47058823529412	A	conserved_mC	Conserved
TraesCS1A03G0069100	8	100	4	73	0	43	8	5.47945205479452	0	A	conserved_mC	Trans only
TraesCS1A03G0074000	78	3028	48	2630	83	3361	2.57595772787318	1.82509505703422	2.46950312407022	A	conserved_mC	Conserved
TraesCS1A03G0082100	70	3665	94	4194	108	4382	1.90995907230559	2.2412970910825	2.46462802373346	A	conserved_mC	Conserved
TraesCS1A03G0093500	7	132	2	103	4	126	5.3030303030303	1.94174757281553	3.17460317460317	A	conserved_mC	Conserved
TraesCS1A03G0096600	16	1210	7	1013	31	1447	1.32231404958678	0.69101678183613	2.14236351071182	A	conserved_mC	Conserved
TraesCS1A03G0096700	81	293	31	171	8	233	27.6450511945393	18.1286549707602	3.43347639484979	A	additive	Conserved
TraesCS1A03G0103400	29	1508	57	2265	66	1772	1.92307692307692	2.51655629139073	3.72460496613996	A	conserved_mC	Cis only
