"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS1A03G0039500","CSxP1",0.2706,0.538275542363735,0.622011778577281,-0.459431616178158,16,22
"TraesCS1A03G0272200","CSxP1",1,1,0.545682286327475,0,5,5
"TraesCS1A03G0273000","CSxP1",0.862291,0.970867984107579,0.508204059641283,0.195550808822844,71,62
"TraesCS1A03G0004900","CSxP1",0.361184,0.641037284545017,0.656847803504079,1.22239239385654,7,3
"TraesCS1A03G0005200","CSxP1",0.563686,0.815975661176471,0.623273249286525,0.999999981966312,8,4
"TraesCS1A03G0056400","CSxP1",0.121949,0.323367441525729,0.625731608585517,0.999999994847518,28,14
"TraesCS1A03G0056500","CSxP1",0.056547,0.18755903870387,0.739521039179938,1.80735489629519,14,4
"TraesCS1A03G0056600","CSxP1",3e-06,2.95903614457831e-05,0.652417474338663,-0.648351206622253,141,221
"TraesCS1A03G0057600","CSxP1",0.588383,0.834840405763689,0.566678363637895,0,25,25
"TraesCS1A03G0059700","CSxP1",0.239539,0.500589359047079,0.669518785787774,-0.736965589357223,12,20
"TraesCS1A03G0066600","CSxP1",0.000231,0.00169017676266137,0.623591638224926,-0.258490480599541,265,317
"TraesCS1A03G0067500","CSxP1",0.216598,0.469616247131509,0.554975242046119,-0.0438876439843101,259,267
"TraesCS1A03G0068100","CSxP1",0,0,0.706889412838471,1.53912682544715,5638,1940
"TraesCS1A03G0068200","CSxP1",0.258161,0.522176964647849,0.569526357035588,0,132,132
"TraesCS1A03G0068800","CSxP1",0.056365,0.18732400541272,0.564171050857299,0.0181473467045525,320,316
"TraesCS1A03G0069100","CSxP1",0.56962,0.819679568834212,0.589530275925569,0.774933443032867,77,45
"TraesCS1A03G0069300","CSxP1",0.000412,0.00286649291784703,0.682305978245757,-0.835369296983766,51,91
"TraesCS1A03G0070800","CSxP1",0.302704,0.575877781564679,0.594957538211792,0.614709843593826,147,96
"TraesCS1A03G0070900","CSxP1",0,0,0.692691524301423,1.41503749863935,376,141
"TraesCS1A03G0329700","CSxP1",0.000144,0.00110175700934579,0.923509281172073,4.16992486518779,18,1
"TraesCS1A03G0073700","CSxP1",0.694344,0.899424506329114,0.583095027378193,0.601450621813767,44,29
"TraesCS1A03G0074000","CSxP1",0.996464,1,0.523037220760344,0.199308807533947,31,27
"TraesCS1A03G0076000","CSxP1",0,0,0.71517678858855,1.59928928202733,1518,501
"TraesCS1A03G0082100","CSxP1",0.897581,0.991065009441031,0.536751456042235,0.082462159720504,18,17
"TraesCS1A03G0352100","CSxP1",1,1,0.518358998238646,0.362570074804724,9,7
"TraesCS1A03G0084400","CSxP1",0.453297,0.722663257624919,0.560569781177604,0.418829078058572,127,95
"TraesCS1A03G0084800","CSxP1",0.108562,0.300692482525366,0.546705851007946,-0.0281968918122816,152,155
"TraesCS1A03G0364800","CSxP1",0.584837,0.833842646546721,0.55739760907718,0.58496249671367,18,12
"TraesCS1A03G0090000","CSxP1",0,0,0.715799290946782,1.55179563462547,129,44
"TraesCS1A03G0093500","CSxP1",0.230144,0.488505615207373,0.661765741511611,1.24792750300303,19,8
"TraesCS1A03G0094000","CSxP1",0.019303,0.0806261360544218,0.732501100910774,1.63742990973783,28,9
"TraesCS1A03G0096600","CSxP1",0.564084,0.815975661176471,0.592025261787059,0.807354906600158,7,4
"TraesCS1A03G0096700","CSxP1",0,0,0.668493974029114,-0.758182079347859,81,137
"TraesCS1A03G0403100","CSxP1",1,1,0.513333793347541,0.273018493369997,29,24
"TraesCS1A03G0404300","CSxP1",0.457989,0.726021387825339,0.606200755923677,-0.362570074804724,7,9
"TraesCS1A03G0103400","CSxP1",0.001642,0.00988419607843137,0.618550646955965,0.444302093470595,166,122
"TraesCS1A03G0407200","CSxP1",0.257969,0.522031198022521,0.613930918039448,-0.415037496273229,12,16
"TraesCS1A03G0408100","CSxP1",1,1,0.508643253549148,0.299560279778098,16,13
"TraesCS1A03G0104200","CSxP1",0.821642,0.95368015964802,0.54315986378122,0,26,26
"TraesCS1A03G0409400","CSxP1",0.178209,0.415783379354022,0.626461180096659,-0.485426825521447,25,35
"TraesCS1A03G0410200","CSxP1",1e-06,1.02618384401114e-05,0.976300943064169,-4.5235618180601,1,23
"TraesCS1A03G0413200","CSxP1",0.764497,0.936420057797708,0.590465671439147,-0.26303440102481,5,6
"TraesCS1A03G0413800","CSxP1",0.326754,0.603584934570068,0.629196977968426,-0.497499656995605,17,24
"TraesCS1A03G0413900","CSxP1",0.815124,0.951947001426533,0.543958655947205,0,9,9
"TraesCS1A03G0414800","CSxP1",0.633254,0.861646439889197,0.593293090529184,0,19,19
"TraesCS1A03G0419500","CSxP1",0.155378,0.381100234354194,0.617010014383238,-0.436099112592819,17,23
"TraesCS1A03G0420300","CSxP1",1,1,0.501745071594566,0.24100809748604,13,11
"TraesCS1A03G0420500","CSxP1",0.03175,0.120151001540832,0.696660833114833,-0.93288579789603,11,21
"TraesCS1A03G0425300","CSxP1",1,1,0.507296788161468,0.289506615737717,22,18
"TraesCS1A03G0426600","CSxP1",0.031747,0.120151001540832,0.761254022037868,-1.37851160549748,5,13
"TraesCS1A03G0427800","CSxP1",0.861988,0.970823537756038,0.507691140410985,0.198545679077999,70,61
"TraesCS1A03G0428400","CSxP1",0.855679,0.967979480662983,0.532733070940827,0.22239242064945,35,30
