"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesCS1A03G0039500","CSxP1",0.672629,0.925277262175779,0.578947368421053,-0.459431616178158,16,22
"TraesCS1A03G0272200","CSxP1",1,1,0.5,0,5,5
"TraesCS1A03G0273000","CSxP1",0.48791,0.789533666886109,0.533834586466165,0.195550808822844,71,62
"TraesCS1A03G0004900","CSxP1",0.343674,0.64742140341924,0.7,1.22239239385654,7,3
"TraesCS1A03G0005200","CSxP1",0.387214,0.694616097158125,0.666666666666667,0.999999981966312,8,4
"TraesCS1A03G0056400","CSxP1",0.044194,0.157153181467181,0.666666666666667,0.999999994847518,28,14
"TraesCS1A03G0056500","CSxP1",0.030594,0.118827934633632,0.777777777777778,1.80735489629519,14,4
"TraesCS1A03G0056600","CSxP1",0.005657,0.0291933781512605,0.611038350867282,-0.648351206622253,141,221
"TraesCS1A03G0057600","CSxP1",0.736366,0.966554039979141,0.559929447442404,0,25,25
"TraesCS1A03G0059700","CSxP1",0.523482,0.821402695596681,0.625788426655511,-0.736965589357223,12,20
"TraesCS1A03G0066600","CSxP1",0.025302,0.101704929623568,0.600445160732933,-0.258490480599541,265,317
"TraesCS1A03G0067500","CSxP1",0.268376,0.562815870307167,0.553183367857755,-0.0438876439843101,259,267
"TraesCS1A03G0068100","CSxP1",0,0,0.744152246488869,1.53912682544715,5638,1940
"TraesCS1A03G0068200","CSxP1",0.165567,0.411432598988196,0.576149833236702,0,132,132
"TraesCS1A03G0068800","CSxP1",0.371708,0.680433427080745,0.547223595026588,0.0181473467045525,320,316
"TraesCS1A03G0069100","CSxP1",0.117398,0.325901686348251,0.631861941977765,0.774933443032867,77,45
"TraesCS1A03G0069300","CSxP1",0.019906,0.0841761239242685,0.64112020550912,-0.835369296983766,51,91
"TraesCS1A03G0070800","CSxP1",0.090996,0.274665517410897,0.612367447408963,0.614709843593826,147,96
"TraesCS1A03G0070900","CSxP1",0,0,0.731028866947817,1.41503749863935,376,141
"TraesCS1A03G0329700","CSxP1",7.9e-05,0.000611420168067227,0.947368421052631,4.16992486518779,18,1
"TraesCS1A03G0073700","CSxP1",0.460503,0.765047599549042,0.602977487576825,0.601450621813767,44,29
"TraesCS1A03G0074000","CSxP1",0.99323,1,0.534476023716985,0.199308807533947,31,27
"TraesCS1A03G0076000","CSxP1",0,0,0.752149164806121,1.59928928202733,1518,501
"TraesCS1A03G0082100","CSxP1",0.930691,1,0.542848799732261,0.082462159720504,18,17
"TraesCS1A03G0352100","CSxP1",0.804155,0.98061459407579,0.5625,0.362570074804724,9,7
"TraesCS1A03G0084400","CSxP1",0.175809,0.427738062726973,0.577156813010674,0.418829078058572,127,95
"TraesCS1A03G0084800","CSxP1",0.909269,1,0.504885993485344,-0.0281968918122816,152,155
"TraesCS1A03G0364800","CSxP1",0.361726,0.666733100724819,0.6,0.58496249671367,18,12
"TraesCS1A03G0090000","CSxP1",0,0,0.753394324409102,1.55179563462547,129,44
"TraesCS1A03G0093500","CSxP1",0.102853,0.29811994649882,0.703753383460124,1.24792750300303,19,8
"TraesCS1A03G0094000","CSxP1",0.003806,0.0205590967741935,0.772070081307038,1.63742990973783,28,9
"TraesCS1A03G0096600","CSxP1",0.548852,0.836653145454545,0.636363636363636,0.807354906600158,7,4
"TraesCS1A03G0096700","CSxP1",0.000196,0.00142138582677165,0.628440366972477,-0.758182079347859,81,137
"TraesCS1A03G0403100","CSxP1",0.7453,0.966554039979141,0.54707821584795,0.273018493369997,29,24
"TraesCS1A03G0404300","CSxP1",0.803808,0.98061459407579,0.5625,-0.362570074804724,7,9
"TraesCS1A03G0103400","CSxP1",0.000259,0.00183315273775216,0.630333237667389,0.444302093470595,166,122
"TraesCS1A03G0407200","CSxP1",0.571396,0.854906333265679,0.571428571428572,-0.415037496273229,12,16
"TraesCS1A03G0408100","CSxP1",0.710755,0.949039222161869,0.551724137931035,0.299560279778098,16,13
"TraesCS1A03G0104200","CSxP1",1,1,0.51919530112878,0,26,26
"TraesCS1A03G0409400","CSxP1",0.55859,0.84279571007371,0.583589335523305,-0.485426825521447,25,35
"TraesCS1A03G0410200","CSxP1",2e-06,1.89165596919127e-05,0.958333333333333,-4.5235618180601,1,23
"TraesCS1A03G0413200","CSxP1",1,1,0.545454545454545,-0.26303440102481,5,6
"TraesCS1A03G0413800","CSxP1",0.646357,0.904703338905775,0.585636458880106,-0.497499656995605,17,24
"TraesCS1A03G0413900","CSxP1",1,1,0.5,0,9,9
"TraesCS1A03G0414800","CSxP1",0.727127,0.96132538205266,0.579288257391789,0,19,19
"TraesCS1A03G0419500","CSxP1",0.43071,0.737673472803347,0.575,-0.436099112592819,17,23
"TraesCS1A03G0420300","CSxP1",0.839343,0.99617899871134,0.541666666666667,0.24100809748604,13,11
"TraesCS1A03G0420500","CSxP1",0.110728,0.312224991963261,0.65625,-0.93288579789603,11,21
"TraesCS1A03G0425300","CSxP1",0.636051,0.893762004576659,0.550000000000001,0.289506615737717,22,18
"TraesCS1A03G0426600","CSxP1",0.096314,0.283903776,0.722222222222222,-1.37851160549748,5,13
"TraesCS1A03G0427800","CSxP1",0.484295,0.786557141723606,0.534351145038168,0.198545679077999,70,61
"TraesCS1A03G0428400","CSxP1",0.732611,0.964423413971771,0.538581714344492,0.22239242064945,35,30
