"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesPARA_EIv1.0_0031650","CSxP1",0.779055,1,0.517543859649124,-0.101283335659346,55,59
"TraesPARA_EIv1.0_0031680","CSxP1",0.88793,1,0.56739928442818,-0.0780025115794324,18,19
"TraesPARA_EIv1.0_0032020","CSxP1",1,1,0.516166978941202,0.0931094037903588,16,15
"TraesPARA_EIv1.0_0032110","CSxP1",0.981854,1,0.541494924661437,-0.0801703484611733,35,37
"TraesPARA_EIv1.0_0032190","CSxP1",1,1,0.529411764705882,0.169924999438569,9,8
"TraesPARA_EIv1.0_0032350","CSxP1",0.689737,0.966318274614472,0.531803962037213,0.183446140803961,67,59
"TraesPARA_EIv1.0_0032380","CSxP1",0.655779,0.947295875178754,0.562659477019108,-0.216811388529077,37,43
"TraesPARA_EIv1.0_0032390","CSxP1",0.237051,0.572273001365654,0.530266343825665,0.174874217329153,219,194
"TraesPARA_EIv1.0_0032560","CSxP1",0.581498,0.899326387188456,0.615384615384615,-0.678071894292425,5,8
"TraesPARA_EIv1.0_0032570","CSxP1",0.266893,0.611866683802134,0.692307692307692,-1.16992498140488,4,9
"TraesPARA_EIv1.0_0032630","CSxP1",0.570889,0.89745578457092,0.579175089435633,-0.253756591350811,26,31
"TraesPARA_EIv1.0_0032730","CSxP1",0.739986,0.993648557230597,0.57574370041433,0.440572588674149,19,14
"TraesPARA_EIv1.0_0033690","CSxP1",0.994174,1,0.508570309686908,0.0500406824417334,88,85
"TraesPARA_EIv1.0_0033720","CSxP1",0.32818,0.689068845057881,0.579783704938961,0.466567799194127,76,55
"TraesPARA_EIv1.0_0033780","CSxP1",0.55054,0.881936642501133,0.555555555555556,0.321928093444667,25,20
"TraesPARA_EIv1.0_0003300","CSxP1",0.89275,1,0.535618228478572,-0.113656781616395,61,66
"TraesPARA_EIv1.0_0003360","CSxP1",0.382788,0.744847574917673,0.619047619047619,-0.700439711205058,8,13
"TraesPARA_EIv1.0_0035010","CSxP1",1,1,0.5,0,17,17
"TraesPARA_EIv1.0_0035180","CSxP1",0.596081,0.911336470702703,0.5625,-0.362570077094716,14,18
"TraesPARA_EIv1.0_0035640","CSxP1",1,1,0.5,0,13,13
"TraesPARA_EIv1.0_0036270","CSxP1",0.724568,0.991064247969052,0.561933657261334,-0.359081092613781,46,59
"TraesPARA_EIv1.0_0036320","CSxP1",0.231511,0.564120578911096,0.534124629080118,0.197232347320631,180,157
"TraesPARA_EIv1.0_0036400","CSxP1",0.761214,0.998061226404598,0.56752771406322,-0.0780025115794324,18,19
"TraesPARA_EIv1.0_0036440","CSxP1",0.754059,0.993648557230597,0.6,-0.584962488698698,4,6
"TraesPARA_EIv1.0_0036550","CSxP1",0.708829,0.980655421443944,0.551933097597389,0.0749620575838248,79,75
"TraesPARA_EIv1.0_0036620","CSxP1",0.316588,0.673622237823211,0.553209984522434,-0.258533013377645,107,128
"TraesPARA_EIv1.0_0036640","CSxP1",0.146073,0.42939534674409,0.75,1.58496246866127,9,3
"TraesPARA_EIv1.0_0036780","CSxP1",1,1,0.5,0,12,12
"TraesPARA_EIv1.0_0037330","CSxP1",0.42268,0.779227133264195,0.642857142857143,0.847996893730994,9,5
"TraesPARA_EIv1.0_0037950","CSxP1",1,1,0.52,0.115477216495132,13,12
"TraesPARA_EIv1.0_0004180","CSxP1",0.497555,0.846945451372171,0.611161733955756,0.321928093685116,30,24
"TraesPARA_EIv1.0_0004190","CSxP1",1,1,0.517241379310345,-0.0995356728639169,14,15
"TraesPARA_EIv1.0_0004200","CSxP1",0.046271,0.196387899759904,0.621753982128311,-0.234465253212701,51,60
"TraesPARA_EIv1.0_0038130","CSxP1",0.000281,0.00254737307692308,0.683193548590081,-1.10962448913732,38,82
"TraesPARA_EIv1.0_0038140","CSxP1",0.590898,0.907129778115502,0.55659837802373,0.108934371450298,110,102
"TraesPARA_EIv1.0_0004230","CSxP1",0.073022,0.273919661538462,0.627371954678952,0.748461230668244,42,25
"TraesPARA_EIv1.0_0038350","CSxP1",0.015664,0.0852001107692308,0.58560782895597,0.424090747399557,373,278
"TraesPARA_EIv1.0_0038630","CSxP1",0.120083,0.377213191026211,0.562873075646407,-0.294330536183202,190,233
"TraesPARA_EIv1.0_0038690","CSxP1",0.000124,0.0011929306122449,0.721518987341772,-1.37345839150078,22,57
"TraesPARA_EIv1.0_0038700","CSxP1",0.229914,0.563248885625432,0.64,-0.830074991544587,9,16
"TraesPARA_EIv1.0_0038720","CSxP1",0.018403,0.0977668016528926,0.591954022988506,0.536753407047246,103,71
