label	gene
seedling_specific	TraesCS1A03G0004000
seedling_specific	TraesCS1A03G0020600
seedling_specific	TraesCS1A03G0056600
seedling_specific	TraesCS1A03G0068200
seedling_specific	TraesCS1A03G0070500
seedling_specific	TraesCS1A03G0073500
seedling_specific	TraesCS1A03G0076000
seedling_specific	TraesCS1A03G0076400
seedling_specific	TraesCS1A03G0098300
seedling_specific	TraesCS1A03G0098700
seedling_specific	TraesCS1A03G0098800
seedling_specific	TraesCS1A03G0142800
seedling_specific	TraesCS1A03G0146700
seedling_specific	TraesCS1A03G0154200
seedling_specific	TraesCS1A03G0244400
seedling_specific	TraesCS1A03G0380800
seedling_specific	TraesCS1A03G0390800
seedling_specific	TraesCS1A03G0405100
seedling_specific	TraesCS1A03G0407200
seedling_specific	TraesCS1A03G0409800
seedling_specific	TraesCS1A03G0410800
seedling_specific	TraesCS1A03G0415700
seedling_specific	TraesCS1A03G0450000
seedling_specific	TraesCS1A03G0454700
seedling_specific	TraesCS1A03G0461300
seedling_specific	TraesCS1A03G0468100
seedling_specific	TraesCS1A03G0499300
seedling_specific	TraesCS1A03G0503100
seedling_specific	TraesCS1A03G0525200
seedling_specific	TraesCS1A03G0531000
seedling_specific	TraesCS1A03G0551200
seedling_specific	TraesCS1A03G0554300
seedling_specific	TraesCS1A03G0565000
seedling_specific	TraesCS1A03G0645800
seedling_specific	TraesCS1A03G0654000
seedling_specific	TraesCS1A03G0661500
seedling_specific	TraesCS1A03G0664300
seedling_specific	TraesCS1A03G0676700
seedling_specific	TraesCS1A03G0687500
seedling_specific	TraesCS1A03G0694800
seedling_specific	TraesCS1A03G0703200
seedling_specific	TraesCS1A03G0711800
seedling_specific	TraesCS1A03G0761900
seedling_specific	TraesCS1A03G0778800
seedling_specific	TraesCS1A03G0781500
seedling_specific	TraesCS1A03G0781700
seedling_specific	TraesCS1A03G0781800
seedling_specific	TraesCS1A03G0791600
seedling_specific	TraesCS1A03G0809500
seedling_specific	TraesCS1A03G0822300
seedling_specific	TraesCS1A03G0828400
seedling_specific	TraesCS1A03G0851600
seedling_specific	TraesCS1A03G0874000
seedling_specific	TraesCS1A03G0897200
seedling_specific	TraesCS1A03G0911900
seedling_specific	TraesCS1A03G0915000
seedling_specific	TraesCS1A03G0977000
seedling_specific	TraesCS1A03G0983700
seedling_specific	TraesCS1A03G0988100
seedling_specific	TraesCS1A03G0991600
seedling_specific	TraesCS1A03G0994600
seedling_specific	TraesCS1A03G1002400
seedling_specific	TraesCS1A03G1003700
seedling_specific	TraesCS1A03G1039100
seedling_specific	TraesCS1A03G1039500
seedling_specific	TraesCS1A03G1040800
seedling_specific	TraesCS1A03G1050000
seedling_specific	TraesCS1A03G1062100
seedling_specific	TraesCS1B03G0001600
seedling_specific	TraesCS1B03G0020700
seedling_specific	TraesCS1B03G0026300
seedling_specific	TraesCS1B03G0028800
seedling_specific	TraesCS1B03G0034500
seedling_specific	TraesCS1B03G0037500
seedling_specific	TraesCS1B03G0046000
seedling_specific	TraesCS1B03G0067900
seedling_specific	TraesCS1B03G0068000
seedling_specific	TraesCS1B03G0068200
seedling_specific	TraesCS1B03G0069700
seedling_specific	TraesCS1B03G0074500
seedling_specific	TraesCS1B03G0086900
seedling_specific	TraesCS1B03G0101000
seedling_specific	TraesCS1B03G0199000
seedling_specific	TraesCS1B03G0231200
seedling_specific	TraesCS1B03G0267300
seedling_specific	TraesCS1B03G0286800
seedling_specific	TraesCS1B03G0286900
seedling_specific	TraesCS1B03G0298000
seedling_specific	TraesCS1B03G0317200
seedling_specific	TraesCS1B03G0462300
seedling_specific	TraesCS1B03G0472300
seedling_specific	TraesCS1B03G0495300
seedling_specific	TraesCS1B03G0541300
seedling_specific	TraesCS1B03G0549100
seedling_specific	TraesCS1B03G0554000
seedling_specific	TraesCS1B03G0564700
seedling_specific	TraesCS1B03G0577100
seedling_specific	TraesCS1B03G0617500
seedling_specific	TraesCS1B03G0619700
seedling_specific	TraesCS1B03G0642200
seedling_specific	TraesCS1B03G0657900
seedling_specific	TraesCS1B03G0717200
seedling_specific	TraesCS1B03G0731600
seedling_specific	TraesCS1B03G0742100
seedling_specific	TraesCS1B03G0749900
seedling_specific	TraesCS1B03G0754600
seedling_specific	TraesCS1B03G0776600
seedling_specific	TraesCS1B03G0782700
seedling_specific	TraesCS1B03G0796800
seedling_specific	TraesCS1B03G0812500
seedling_specific	TraesCS1B03G0871200
seedling_specific	TraesCS1B03G0874500
seedling_specific	TraesCS1B03G0892500
seedling_specific	TraesCS1B03G0896700
