"gene","category"
"TraesCS1A03G0039500","Ambiguous"
"TraesCS1A03G0272200","Ambiguous"
"TraesCS1A03G0273000","Conserved"
"TraesCS1A03G0004900","Conserved"
"TraesCS1A03G0005200","Conserved"
"TraesCS1A03G0056600","Conserved"
"TraesCS1A03G0057600","Conserved"
"TraesCS1A03G0059700","Conserved"
"TraesCS1A03G0066600","Trans only"
"TraesCS1A03G0067500","Conserved"
"TraesCS1A03G0068100","Cis + trans"
"TraesCS1A03G0068200","Conserved"
"TraesCS1A03G0068800","Ambiguous"
"TraesCS1A03G0069100","Trans only"
"TraesCS1A03G0069300","Conserved"
"TraesCS1A03G0070800","Ambiguous"
"TraesCS1A03G0070900","Cis + trans"
"TraesCS1A03G0329700","Conserved"
"TraesCS1A03G0073700","Ambiguous"
"TraesCS1A03G0074000","Conserved"
"TraesCS1A03G0076000","Ambiguous"
"TraesCS1A03G0082100","Conserved"
"TraesCS1A03G0352100","Ambiguous"
"TraesCS1A03G0084400","Ambiguous"
"TraesCS1A03G0084800","Ambiguous"
"TraesCS1A03G0364800","Conserved"
"TraesCS1A03G0090000","Cis + trans"
"TraesCS1A03G0093500","Conserved"
"TraesCS1A03G0094000","Ambiguous"
"TraesCS1A03G0096600","Conserved"
"TraesCS1A03G0096700","Conserved"
"TraesCS1A03G0403100","Conserved"
"TraesCS1A03G0404300","Conserved"
"TraesCS1A03G0103400","Cis only"
"TraesCS1A03G0407200","Ambiguous"
"TraesCS1A03G0408100","Conserved"
"TraesCS1A03G0104200","Ambiguous"
"TraesCS1A03G0409400","Conserved"
"TraesCS1A03G0410200","Ambiguous"
"TraesCS1A03G0413200","Conserved"
"TraesCS1A03G0413800","Conserved"
"TraesCS1A03G0413900","Conserved"
"TraesCS1A03G0414800","Conserved"
"TraesCS1A03G0419500","Conserved"
"TraesCS1A03G0420300","Conserved"
"TraesCS1A03G0420500","Conserved"
"TraesCS1A03G0425300","Ambiguous"
"TraesCS1A03G0426600","Conserved"
"TraesCS1A03G0427800","Ambiguous"
"TraesCS1A03G0428400","Ambiguous"
"TraesCS1A03G0428600","Conserved"
"TraesCS1A03G0429000","Conserved"
"TraesCS1A03G0433600","Conserved"
"TraesCS1A03G0434100","Ambiguous"
"TraesCS1A03G0435700","Conserved"
"TraesCS1A03G0439700","Ambiguous"
"TraesCS1A03G0111400","Conserved"
"TraesCS1A03G0111500","Ambiguous"
"TraesCS1A03G0112500","Ambiguous"
"TraesCS1A03G0114700","Conserved"
"TraesCS1A03G0119600","Ambiguous"
"TraesCS1A03G0120100","Ambiguous"
"TraesCS1A03G0127500","Compensatory"
"TraesCS1A03G0127800","Conserved"
"TraesCS1A03G0141400","Conserved"
"TraesCS1A03G0142800","Ambiguous"
"TraesCS1A03G0016000","Ambiguous"
"TraesCS1A03G0016300","Ambiguous"
"TraesCS1A03G0148800","Trans only"
"TraesCS1A03G0150700","Ambiguous"
"TraesCS1A03G0155800","Ambiguous"
"TraesCS1A03G0156300","Ambiguous"
