"gene","category"
"TraesCS3A03G0692600","Conserved"
"TraesCS2A03G0427800","Ambiguous"
"TraesCS2A03G0956100","Ambiguous"
"TraesCS4A03G0060100","Conserved"
"TraesCS2A03G0339500","Cis × trans"
"TraesCS2A03G0729700","Compensatory"
"TraesCS3A03G0878500","Conserved"
"TraesCS5A03G0045900","Conserved"
"TraesCS5A03G0546100","Ambiguous"
"TraesCS4A03G0123000","Ambiguous"
"TraesCS1A03G0827800","Ambiguous"
"TraesCS2A03G0315900","Conserved"
"TraesCS4A03G0063800","Ambiguous"
"TraesCS3A03G1267300","Ambiguous"
"TraesCS6A03G0431400","Conserved"
"TraesCS5A03G0918900","Ambiguous"
"TraesCS7A03G0456600","Conserved"
"TraesCS6A03G0065500","Cis only"
"TraesCS2A03G1072000","Ambiguous"
"TraesCS7A03G1176300","Conserved"
"TraesCS6A03G0938100","Conserved"
"TraesCS5A03G0137300","Conserved"
"TraesCS1A03G0902800","Conserved"
"TraesCS4A03G0685200","Ambiguous"
"TraesCS7A03G1030300","Ambiguous"
"TraesCS5A03G0583800","Trans only"
"TraesCS5A03G0432900","Ambiguous"
"TraesCS2A03G1177800","Conserved"
"TraesCS1A03G0649000","Conserved"
"TraesCS5A03G0818100","Ambiguous"
"TraesCS1A03G0498700","Conserved"
"TraesCS1A03G0956000","Conserved"
"TraesCS7A03G0568500","Ambiguous"
"TraesCS6A03G0225800","Ambiguous"
"TraesCS3A03G1022400","Ambiguous"
"TraesCS5A03G0089000","Ambiguous"
"TraesCS2A03G0922900","Ambiguous"
"TraesCS7A03G0878000","Conserved"
"TraesCS7A03G0999600","Ambiguous"
"TraesCS5A03G0728300","Conserved"
"TraesCS1A03G1030200","Conserved"
"TraesCS1A03G1002400","Conserved"
"TraesCS4A03G0234500","Ambiguous"
"TraesCS4A03G0162600","Ambiguous"
"TraesCS1A03G0773900","Ambiguous"
"TraesCS7A03G0891600","Trans only"
"TraesCS3A03G0872800","Conserved"
"TraesCS7A03G0842900","Ambiguous"
"TraesCS5A03G1201900","Conserved"
"TraesCS2A03G0644400","Conserved"
"TraesCS5A03G0571200","Compensatory"
"TraesCS7A03G0941000","Ambiguous"
"TraesCS5A03G0346400","Ambiguous"
"TraesCS3A03G0726600","Compensatory"
"TraesCS1A03G0542500","Conserved"
"TraesCS1A03G0471200","Conserved"
"TraesCS1A03G0605600","Ambiguous"
"TraesCS2A03G0435100","Conserved"
"TraesCS1A03G0141300","Conserved"
"TraesCS1A03G0587300","Conserved"
"TraesCS7A03G1064600","Conserved"
"TraesCS7A03G0443500","Ambiguous"
"TraesCS5A03G0547600","Conserved"
"TraesCS2A03G1225600","Cis only"
"TraesCS2A03G1282700","Ambiguous"
"TraesCS3A03G0743200","Conserved"
"TraesCS1A03G0698400","Conserved"
"TraesCS2A03G0641400","Conserved"
"TraesCS1A03G1039400","Ambiguous"
"TraesCS5A03G0603800","Ambiguous"
"TraesCS1A03G0069100","Trans only"
"TraesCS4A03G0740800","Ambiguous"
"TraesCS4A03G0178300","Conserved"
"TraesCS2A03G0372400","Ambiguous"
"TraesCS5A03G0076200","Ambiguous"
"TraesCS1A03G0623900","Conserved"
"TraesCS1A03G0479500","Conserved"
"TraesCS3A03G0887000","Ambiguous"
"TraesCS4A03G0752000","Conserved"
"TraesCS2A03G0091300","Cis only"
"TraesCS7A03G0841200","Ambiguous"
"TraesCS1A03G0056600","Conserved"
"TraesCS3A03G0743500","Ambiguous"
"TraesCS1A03G0520400","Ambiguous"
"TraesCS3A03G0758500","Conserved"
"TraesCS4A03G0143700","Ambiguous"
"TraesCS2A03G0924600","Conserved"
"TraesCS3A03G0475400","Conserved"
"TraesCS2A03G0702200","Ambiguous"
