"gene","category"
"TraesPARA_EIv1.0_0000130","Trans only"
"TraesPARA_EIv1.0_0000450","Trans only"
"TraesPARA_EIv1.0_0000530","Conserved"
"TraesPARA_EIv1.0_0000550","Ambiguous"
"TraesPARA_EIv1.0_0000560","Conserved"
"TraesPARA_EIv1.0_0000800","Ambiguous"
"TraesPARA_EIv1.0_0000930","Conserved"
"TraesPARA_EIv1.0_0001100","Trans only"
"TraesPARA_EIv1.0_0001210","Ambiguous"
"TraesPARA_EIv1.0_0001250","Conserved"
"TraesPARA_EIv1.0_0001810","Conserved"
"TraesPARA_EIv1.0_0001920","Conserved"
"TraesPARA_EIv1.0_0001960","Ambiguous"
"TraesPARA_EIv1.0_0002480","Trans only"
"TraesPARA_EIv1.0_0002750","Conserved"
"TraesPARA_EIv1.0_0002890","Conserved"
"TraesPARA_EIv1.0_0002910","Conserved"
"TraesPARA_EIv1.0_0003300","Ambiguous"
"TraesPARA_EIv1.0_0003360","Ambiguous"
"TraesPARA_EIv1.0_0004180","Ambiguous"
"TraesPARA_EIv1.0_0004190","Ambiguous"
"TraesPARA_EIv1.0_0004200","Ambiguous"
"TraesPARA_EIv1.0_0004230","Ambiguous"
"TraesPARA_EIv1.0_0004430","Conserved"
"TraesPARA_EIv1.0_0004460","Conserved"
"TraesPARA_EIv1.0_0004520","Conserved"
"TraesPARA_EIv1.0_0004640","Ambiguous"
"TraesPARA_EIv1.0_0005140","Conserved"
"TraesPARA_EIv1.0_0005290","Conserved"
"TraesPARA_EIv1.0_0005340","Conserved"
"TraesPARA_EIv1.0_0005420","Ambiguous"
"TraesPARA_EIv1.0_0005640","Conserved"
"TraesPARA_EIv1.0_0005650","Conserved"
"TraesPARA_EIv1.0_0005680","Conserved"
"TraesPARA_EIv1.0_0005750","Ambiguous"
"TraesPARA_EIv1.0_0005790","Conserved"
"TraesPARA_EIv1.0_0005830","Ambiguous"
"TraesPARA_EIv1.0_0006560","Conserved"
"TraesPARA_EIv1.0_0006810","Ambiguous"
"TraesPARA_EIv1.0_0007440","Conserved"
"TraesPARA_EIv1.0_0007500","Ambiguous"
"TraesPARA_EIv1.0_0008090","Ambiguous"
"TraesPARA_EIv1.0_0008130","Conserved"
"TraesPARA_EIv1.0_0008200","Conserved"
"TraesPARA_EIv1.0_0008240","Trans only"
"TraesPARA_EIv1.0_0008400","Conserved"
"TraesPARA_EIv1.0_0008420","Ambiguous"
"TraesPARA_EIv1.0_0008440","Conserved"
"TraesPARA_EIv1.0_0008670","Ambiguous"
"TraesPARA_EIv1.0_0008740","Conserved"
"TraesPARA_EIv1.0_0008950","Conserved"
"TraesPARA_EIv1.0_0009450","Ambiguous"
"TraesPARA_EIv1.0_0010250","Ambiguous"
"TraesPARA_EIv1.0_0011000","Ambiguous"
"TraesPARA_EIv1.0_0011820","Conserved"
"TraesPARA_EIv1.0_0011890","Ambiguous"
"TraesPARA_EIv1.0_0011960","Ambiguous"
"TraesPARA_EIv1.0_0012030","Ambiguous"
"TraesPARA_EIv1.0_0012100","Trans only"
"TraesPARA_EIv1.0_0012260","Conserved"
"TraesPARA_EIv1.0_0012280","Ambiguous"
"TraesPARA_EIv1.0_0012460","Conserved"
"TraesPARA_EIv1.0_0012650","Ambiguous"
"TraesPARA_EIv1.0_0012660","Trans only"
"TraesPARA_EIv1.0_0012680","Conserved"
"TraesPARA_EIv1.0_0012690","Conserved"
"TraesPARA_EIv1.0_0013310","Ambiguous"
"TraesPARA_EIv1.0_0014670","Conserved"
"TraesPARA_EIv1.0_0015400","Conserved"
"TraesPARA_EIv1.0_0015790","Conserved"
"TraesPARA_EIv1.0_0015860","Ambiguous"
"TraesPARA_EIv1.0_0015870","Conserved"
"TraesPARA_EIv1.0_0015900","Conserved"
"TraesPARA_EIv1.0_0015920","Ambiguous"
"TraesPARA_EIv1.0_0016070","Conserved"
"TraesPARA_EIv1.0_0016340","Conserved"
"TraesPARA_EIv1.0_0016460","Conserved"
"TraesPARA_EIv1.0_0016490","Ambiguous"
"TraesPARA_EIv1.0_0016660","Ambiguous"
"TraesPARA_EIv1.0_0016760","Trans only"
"TraesPARA_EIv1.0_0016790","Conserved"
"TraesPARA_EIv1.0_0017070","Ambiguous"
"TraesPARA_EIv1.0_0017260","Conserved"
"TraesPARA_EIv1.0_0017360","Conserved"
"TraesPARA_EIv1.0_0017440","Ambiguous"
"TraesPARA_EIv1.0_0017460","Conserved"
"TraesPARA_EIv1.0_0017640","Cis + trans"
"TraesPARA_EIv1.0_0017810","Conserved"
"TraesPARA_EIv1.0_0017820","Ambiguous"
"TraesPARA_EIv1.0_0017830","Conserved"
"TraesPARA_EIv1.0_0017850","Conserved"
"TraesPARA_EIv1.0_0018000","Conserved"
"TraesPARA_EIv1.0_0018240","Ambiguous"
"TraesPARA_EIv1.0_0018360","Conserved"
"TraesPARA_EIv1.0_0018370","Conserved"
"TraesPARA_EIv1.0_0018400","Conserved"
"TraesPARA_EIv1.0_0018580","Ambiguous"
"TraesPARA_EIv1.0_0018670","Conserved"
"TraesPARA_EIv1.0_0018680","Conserved"
"TraesPARA_EIv1.0_0018720","Ambiguous"
"TraesPARA_EIv1.0_0018820","Ambiguous"
"TraesPARA_EIv1.0_0018900","Ambiguous"
"TraesPARA_EIv1.0_0018920","Conserved"
"TraesPARA_EIv1.0_0018990","Conserved"
"TraesPARA_EIv1.0_0019160","Conserved"
"TraesPARA_EIv1.0_0019290","Conserved"
"TraesPARA_EIv1.0_0019310","Ambiguous"
"TraesPARA_EIv1.0_0019320","Conserved"
"TraesPARA_EIv1.0_0019400","Conserved"
"TraesPARA_EIv1.0_0019410","Conserved"
"TraesPARA_EIv1.0_0019420","Conserved"
"TraesPARA_EIv1.0_0019610","Conserved"
"TraesPARA_EIv1.0_0019760","Ambiguous"
"TraesPARA_EIv1.0_0019850","Conserved"
"TraesPARA_EIv1.0_0019860","Conserved"
"TraesPARA_EIv1.0_0019910","Ambiguous"
"TraesPARA_EIv1.0_0019920","Trans only"
"TraesPARA_EIv1.0_0019950","Conserved"
"TraesPARA_EIv1.0_0019980","Conserved"
"TraesPARA_EIv1.0_0020010","Ambiguous"
"TraesPARA_EIv1.0_0020080","Conserved"
