"gene_id","CS","CSxP","P","parent_status","hybrid_status","subgenome","category"
"TraesCS1A03G0004900",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0005200",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0037900",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Trans only"
"TraesCS1A03G0056600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0057500",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0057600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0059400",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Trans only"
"TraesCS1A03G0059700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0066600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Trans only"
"TraesCS1A03G0067500",TRUE,FALSE,FALSE,"CS-specific gbM","non-gbM","A","Conserved"
"TraesCS1A03G0068200",TRUE,TRUE,FALSE,"CS-specific gbM","gbM","A","Conserved"
"TraesCS1A03G0069100",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Trans only"
"TraesCS1A03G0069300",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0074000",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0082100",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0093500",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0096600",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0096700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0103400",TRUE,TRUE,FALSE,"CS-specific gbM","gbM","A","Cis only"
"TraesCS1A03G0111400",TRUE,TRUE,FALSE,"CS-specific gbM","gbM","A","Conserved"
"TraesCS1A03G0114700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0127500",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Compensatory"
"TraesCS1A03G0127800",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0141400",FALSE,FALSE,TRUE,"P-specific gbM","non-gbM","A","Conserved"
"TraesCS1A03G0143500",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0148800",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Trans only"
"TraesCS1A03G0166400",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0172300",FALSE,FALSE,TRUE,"P-specific gbM","non-gbM","A","Conserved"
"TraesCS1A03G0200700",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Trans only"
"TraesCS1A03G0207500",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0213700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0233900",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0273000",TRUE,TRUE,FALSE,"CS-specific gbM","gbM","A","Conserved"
"TraesCS1A03G0329700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0364800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0393700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0397700",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0403100",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0404300",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0405800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0407000",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0408100",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0409400",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0413200",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0413800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0413900",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0414800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0419500",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0420300",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0420500",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0426600",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0428600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0429000",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0433600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0435700",FALSE,TRUE,TRUE,"P-specific gbM","gbM","A","Conserved"
"TraesCS1A03G0438300",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0451800",TRUE,TRUE,FALSE,"CS-specific gbM","gbM","A","Conserved"
"TraesCS1A03G0455800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0455900",TRUE,FALSE,TRUE,"gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0457400",FALSE,FALSE,FALSE,"non-gbM in both parents","non-gbM","A","Conserved"
"TraesCS1A03G0460000",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0460400",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0461600",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0464100",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0465100",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0471200",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0473800",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
"TraesCS1A03G0474000",TRUE,TRUE,TRUE,"gbM in both parents","gbM","A","Conserved"
