gene_id	sample	sites_CG	sites_CHG	sites_CHH	nC_CG	nC_CHG	nC_CHH	mC_CG	mC_CHG	mC_CHH	gene_methylation_level_CG	gene_methylation_level_CHG	gene_methylation_level_CHH	genome_p_CG	genome_p_CHG	genome_p_CHH	padj_CG	padj_CHG	padj_CHH	gbM_candidate	gbM_class
TraesCS1A03G0013400	CS	41	38	286	41	38	286	39	0	0	0.951219512195122	0	0	0.218830458501883	0.0147107349061532	0.000953201799751112	1.38094804562455e-22	1	1	TRUE	gbM
TraesCS1A03G0013400	CSxP	41	38	286	41	38	286	38	1	0	0.926829268292683	0.0263157894736842	0	0.231679459898994	0.0166503491903687	0.000727324596018621	4.15115967323619e-20	1	1	TRUE	gbM
TraesCS1A03G0013400	P	41	38	286	41	38	286	36	1	0	0.878048780487805	0.0263157894736842	0	0.222744549775337	0.0192901381377202	0.000796145054687755	7.66408978019003e-18	1	1	TRUE	gbM
TraesCS1A03G0015700	CS	35	28	141	35	28	141	18	0	0	0.514285714285714	0	0	0.218830458501883	0.0147107349061532	0.000953201799751112	0.000404679873989947	1	1	TRUE	gbM
TraesCS1A03G0015700	CSxP	35	28	141	35	28	141	23	0	0	0.657142857142857	0	0	0.231679459898994	0.0166503491903687	0.000727324596018621	4.32811486798488e-07	1	1	TRUE	gbM
TraesCS1A03G0015700	P	35	28	141	35	28	141	25	1	0	0.714285714285714	0.0357142857142857	0	0.222744549775337	0.0192901381377202	0.000796145054687755	4.27003116967721e-09	1	1	TRUE	gbM
TraesCS1A03G0016300	CS	99	116	815	99	116	815	95	0	0	0.95959595959596	0	0	0.218830458501883	0.0147107349061532	0.000953201799751112	5.37370699557e-55	1	1	TRUE	gbM
TraesCS1A03G0016300	CSxP	99	116	815	99	116	815	94	1	1	0.949494949494949	0.00862068965517241	0.00122699386503067	0.231679459898994	0.0166503491903687	0.000727324596018621	4.99999317097275e-51	1	1	TRUE	gbM
TraesCS1A03G0016300	P	99	116	815	99	116	815	93	2	0	0.939393939393939	0.0172413793103448	0	0.222744549775337	0.0192901381377202	0.000796145054687755	8.33992718568733e-51	1	1	TRUE	gbM
TraesCS1A03G0029700	CS	114	49	288	114	49	288	91	0	0	0.798245614035088	0	0	0.218830458501883	0.0147107349061532	0.000953201799751112	1.13807214545112e-37	1	1	TRUE	gbM
TraesCS1A03G0029700	CSxP	114	49	288	114	49	288	94	0	0	0.824561403508772	0	0	0.231679459898994	0.0166503491903687	0.000727324596018621	5.35435471339029e-39	1	1	TRUE	gbM
TraesCS1A03G0029700	P	114	49	288	114	49	288	90	1	1	0.789473684210526	0.0204081632653061	0.00347222222222222	0.222744549775337	0.0192901381377202	0.000796145054687755	6.35859691801574e-36	1	1	TRUE	gbM
TraesCS1A03G0031300	CS	83	51	385	83	51	385	28	0	0	0.337349397590361	0	0	0.218830458501883	0.0147107349061532	0.000953201799751112	0.024272422896472	1	1	TRUE	gbM
TraesCS1A03G0031300	CSxP	83	51	385	83	51	385	28	0	0	0.337349397590361	0	0	0.231679459898994	0.0166503491903687	0.000727324596018621	0.048602103202654	1	1	TRUE	gbM
TraesCS1A03G0031300	P	83	51	385	83	51	385	24	0	2	0.289156626506024	0	0.0051948051948052	0.222744549775337	0.0192901381377202	0.000796145054687755	0.232302693420513	1	1	FALSE	UM
TraesCS1A03G0031500	CS	166	108	613	166	108	613	95	1	1	0.572289156626506	0.00925925925925926	0.00163132137030995	0.218830458501883	0.0147107349061532	0.000953201799751112	8.88015684751484e-22	1	1	TRUE	gbM
TraesCS1A03G0031500	CSxP	166	108	613	166	108	613	98	0	1	0.590361445783133	0	0.00163132137030995	0.231679459898994	0.0166503491903687	0.000727324596018621	6.09410123260099e-22	1	1	TRUE	gbM
TraesCS1A03G0031500	P	166	108	613	166	108	613	101	0	0	0.608433734939759	0	0	0.222744549775337	0.0192901381377202	0.000796145054687755	2.80142501403769e-25	1	1	TRUE	gbM
TraesCS1A03G0033900	CS	122	161	947	122	161	947	84	0	1	0.688524590163934	0	0.00105596620908131	0.218830458501883	0.0147107349061532	0.000953201799751112	4.2780821186412e-27	1	1	TRUE	gbM
