gene_id	n_TEs	n_sites	pct_CS	cov_CS	pct_CSxP	cov_CSxP	pct_P	cov_P
TraesCS1A03G0002200	1	424	95.6815	4006	95.2738	3597	95.5454	5455
TraesCS1A03G0002800	1	78	97.074	581	95.9927	549	90.6103	639
TraesCS1A03G0004000	1	4	25.641	39	23.913	46	21.3115	61
TraesCS1A03G0004200	1	8	89.6552	203	81.3636	220	85.2174	230
TraesCS1A03G0004300	3	8	82.5757795454545	132	80.5031710691824	159	83.625701754386	171
TraesCS1A03G0004400	1	44	91.7219	302	88.2353	459	94.235	451
TraesCS1A03G0004500	2	30	87.22224	360	68.2080852601156	346	61.1236028539326	445
TraesCS1A03G0004900	1	104	94.7312	930	95.2716	994	96.6997	909
TraesCS1A03G0005000	2	8	85.00001	120	90.4109520547945	146	89.44444	180
TraesCS1A03G0005200	2	18	94.4915584745763	236	93.8931240458015	262	95.2802666666667	339
TraesCS1A03G0005600	3	14	86.1344289915966	238	79.9196586345382	249	79.4258181818182	209
TraesCS1A03G0006700	1	95	94.0806	794	93.8478	959	93.8556	1302
TraesCS1A03G0009800	1	33	91.0045	667	87.9699	532	81.8421	380
TraesCS1A03G0010100	3	37	93.248146350365	548	89.3223852156057	487	91.8255683923706	367
TraesCS1A03G0012500	1	2	93.1818	44	94.7368	38	95.3125	64
TraesCS1A03G0012700	1	19	80.6897	290	84.2294	279	75.4237	354
TraesCS1A03G0012900	3	84	85.4166670833333	720	90.1785239795919	784	86.8882691597415	1083
TraesCS1A03G0013000	7	890	84.9994594325924	8953	82.664497096248	9195	84.3868146227265	11106
TraesCS1A03G0013200	1	546	89.104	6819	90.2029	6900	88.2722	8774
TraesCS1A03G0013400	1	6	97.6	125	96.1538	78	97.9592	147
TraesCS1A03G0013600	1	41	89.9782	459	88.1057	454	88.8357	627
TraesCS1A03G0013800	6	62	93.2288228795438	1403	92.0681676056338	1349	93.6357247256767	1367
TraesCS1A03G0013900	2	4	61.6822439252336	107	62.1359475728155	103	87.999975	100
TraesCS1A03G0014300	1	16	92.1788	358	92.9134	254	91.5323	248
TraesCS1A03G0014500	2	4	80.7947092715232	151	57.0093542056075	107	19.6261794392523	107
TraesCS1A03G0014600	1	9	97.0149	67	93.6709	79	96.0526	76
TraesCS1A03G0015500	1	3	96.9231	65	72.2222	36	68.9655	29
TraesCS1A03G0016000	2	8	83.0188566037736	159	88.4353489795918	147	89.7561156097561	205
TraesCS1A03G0016200	2	6	57.031246875	128	69.0265734513274	113	77.4193890322581	155
TraesCS1A03G0016300	2	4	46.0526473684211	76	66.1290016129032	62	38.7755016326531	49
TraesCS1A03G0016400	1	94	96.8047	845	94.5799	738	97.4249	932
TraesCS1A03G0016700	1	220	93.559	2127	67.2233	2096	50.2278	3512
TraesCS1A03G0017100	2	9	74.7747846846847	111	68.8741735099338	151	71.9007925619835	242
TraesCS1A03G0017400	2	212	95.1278324167873	2073	94.8644373751783	2103	95.8806151927438	2646
TraesCS1A03G0019300	1	3	50	66	57.6271	59	42.8571	35
TraesCS1A03G0019600	1	4	97.4684	79	93.9394	66	96.25	80
TraesCS1A03G0020400	2	27	91.8316435643565	404	86.8338573667712	319	90.295382700422	237
TraesCS1A03G0020500	2	26	94.2028712215321	483	93.8502935828877	374	89.2255898989899	297
TraesCS1A03G0021200	1	15	41.6949	295	55.0877	285	54.7988	323
TraesCS1A03G0022300	1	24	68.9189	444	60.0432	463	47.2637	603
TraesCS1A03G0023500	2	155	97.1396187643021	874	95.9038289740699	2661	95.3669927688214	6389
TraesCS1A03G0023600	1	13	85.8586	198	86.5217	230	83.0986	355
TraesCS1A03G0023800	3	15	95.6692688976378	254	92.1518675949367	395	90.4411928308823	544
TraesCS1A03G0023900	2	7	88.2681536312849	179	82.1100779816514	218	78.2967057692308	364
TraesCS1A03G0024000	1	17	97.4441	313	96.8436	697	95.8801	1068
TraesCS1A03G0024300	2	82	91.1258026490066	1510	87.1862183619551	1514	83.3798530726257	1432
TraesCS1A03G0024500	3	61	50.3855824335904	1167	51.1465241276172	1003	59.4957854621849	1190
TraesCS1A03G0028100	1	3	88.8889	54	83.3333	48	89.1566	83
TraesCS1A03G0028200	1	29	89.0598	585	92.4138	580	90.5997	617
TraesCS1A03G0028300	1	1	92.8571	14	89.4737	19	93.5484	31
TraesCS1A03G0028500	1	2	96.0784	51	97.7273	44	97.8723	47
TraesCS1A03G0028600	1	3	81.0811	74	78.2178	101	85.5422	83
TraesCS1A03G0029000	2	13	93.3333277777778	180	93.0693029702971	202	97.0149141791045	268
TraesCS1A03G0029300	1	3	84.1463	82	81.8182	66	83.8235	68
TraesCS1A03G0029600	6	14	50.78128828125	256	61.333348	225	47.5609627642276	246
TraesCS1A03G0029700	1	4	92.8571	98	92.7928	111	95.4128	109
TraesCS1A03G0029800	1	2	36.1702	47	41.1765	51	80.3279	61
TraesCS1A03G0029900	3	12	90.2325427906977	215	94.0217597826087	184	95.6730413461539	208
TraesCS1A03G0031000	2	8	91.4110239263804	163	71.555572	225	40.5063164556962	237
TraesCS1A03G0031200	1	3	96.8254	63	94.9153	59	89.7727	88
TraesCS1A03G0031300	2	6	84.1584207920792	101	90.3225729032258	155	90.647464028777	139
TraesCS1A03G0031500	3	8	97.419344516129	155	98.2558023255814	172	97.6470382352941	170
TraesCS1A03G0031900	1	4	87.8049	82	87.0588	85	85.7143	56
TraesCS1A03G0032000	2	4	100	28	95.2380952380952	21	96.4285428571429	28
TraesCS1A03G0032100	1	2	1.6129	62	46.1538	26	0	12
TraesCS1A03G0032200	2	8	85.5172255172414	145	77.519388372093	129	74.8603268156425	179
TraesCS1A03G0032400	2	42	94.6456481889764	635	95.0561429213483	445	94.6537459295261	823
TraesCS1A03G0032500	5	216	84.2762965131579	3040	80.0788345057611	3298	63.817085424236	4679
TraesCS1A03G0033100	1	4	94.9153	59	92.126	127	91.7808	73
TraesCS1A03G0033200	1	4	97.5	40	92.8571	98	90.566	53
TraesCS1A03G0033300	1	19	94.902	255	97.8166	229	96.4286	252
TraesCS1A03G0033800	1	3	79.3103	58	82.0896	67	88.0952	84
TraesCS1A03G0033900	3	10	40.0778182879377	257	33.1818147727273	220	43.7710585858586	297
TraesCS1A03G0034100	2	17	67.2474078745645	287	72.5067440700809	371	72.5433352601156	346
TraesCS1A03G0034200	1	216	94.6809	2068	95.7283	1943	94.7728	2487
TraesCS1A03G0034600	2	9	70.6611475206612	242	76.4192091703057	229	66.1710278810409	269
TraesCS1A03G0034700	1	13	81.0256	195	40.4348	230	2.07101	338
TraesCS1A03G0034800	1	16	97.4684	158	85.4962	131	96.7914	187
TraesCS1A03G0035200	1	3	66.6667	66	27.6316	76	20.2381	84
TraesCS1A03G0036100	2	16	88.6792603773585	265	90.4958380165289	242	95.5836261829653	317
TraesCS1A03G0036900	1	2	79.1667	24	64.7059	34	76.9231	52
TraesCS1A03G0037000	1	6	92.1569	102	97.0588	102	96.7391	92
TraesCS1A03G0037100	1	4	94.7368	57	82.6531	98	69.5652	92
TraesCS1A03G0037200	1	8	31.6794	262	41.1765	170	84.7328	262
TraesCS1A03G0037300	1	4	11.6279	86	6.17284	81	11.4035	114
TraesCS1A03G0037500	2	54	90.8428501560874	961	90.4761857142857	798	91.8420886842105	760
TraesCS1A03G0037600	1	3	51.9231	52	58.75	80	53.3898	118
TraesCS1A03G0037800	3	6	86.5384461538462	104	86.2500175	80	77.5757466666667	165
TraesCS1A03G0038100	1	6	81.3333	150	86.4078	103	94.1176	136
TraesCS1A03G0038700	2	481	95.9594219926199	5420	95.5021408114558	5447	95.7016901366354	7026
TraesCS1A03G0038900	2	7	87.7862732824428	131	95.4954846846847	111	95.2380505952381	168
TraesCS1A03G0039300	3	27	92.0791808580858	606	87.2841844583988	637	81.0705248041776	766
TraesCS1A03G0039400	1	13	68.1356	295	84.9829	293	84.5878	279
TraesCS1A03G0039600	1	2	71.0526	38	75	28	44.4444	18
TraesCS1A03G0039700	1	3	60.5634	71	78.6885	61	88.8889	63
TraesCS1A03G0040400	2	4	62.8571171428571	35	62.5000041666667	24	38.4615153846154	13
TraesCS1A03G0040800	2	117	93.8921397660819	1539	92.6413184353215	1291	91.5477540065862	1822
TraesCS1A03G0040900	2	7	82.5503255033557	149	83.7036866666667	135	77.1653330708661	127
TraesCS1A03G0042000	4	11	78.4553012195122	246	75.3488279069767	215	84.8148425925926	270
TraesCS1A03G0042500	1	19	82.0755	318	71.5789	285	78.5714	336
TraesCS1A03G0042600	1	16	88.3408	223	92.8	125	94.2857	210
TraesCS1A03G0042800	3	8	38.2022494382023	178	36.0248709937888	161	30.3665205235602	191
TraesCS1A03G0042900	2	4	83.1169	77	89.7058764705882	68	84.7826195652174	92
TraesCS1A03G0043100	1	2	79.1667	24	72.2222	18	41.6667	36
TraesCS1A03G0043400	2	62	92.0743859099804	1022	94.3838647946354	1193	94.4905857358491	1325
TraesCS1A03G0043500	2	3	83.3333666666667	54	88.000012	75	81.9671967213115	61
TraesCS1A03G0043600	3	22	94.0414917098446	386	95.0354723404256	423	93.7499640625	512
TraesCS1A03G0043800	1	4	60.8696	46	60.6061	66	40.6977	86
TraesCS1A03G0044200	1	60	94.2197	519	95.9927	549	96.2848	646
TraesCS1A03G0044800	2	13	93.229134375	192	96.9543177664975	197	96.1325861878453	181
TraesCS1A03G0045000	2	4	70.3703416666667	108	68.9654827586207	87	64.6551655172414	116
TraesCS1A03G0045100	2	26	74.613020123839	323	77.2727222727273	440	71.2049946791862	639
TraesCS1A03G0045300	2	38	93.1034266009852	406	89.7310916870416	409	91.4715782608696	598
TraesCS1A03G0045600	4	21	88.1057354625551	454	85.8719417218543	453	86.8571396190476	525
TraesCS1A03G0045700	2	5	48.2353270588235	85	48.3333733333333	120	39.6039306930693	101
TraesCS1A03G0045800	1	16	93.7956	274	92.8	250	87.2587	259
TraesCS1A03G0045900	2	33	88.1309964529332	733	85.7142915395284	721	90.8496819607843	765
TraesCS1A03G0046000	3	179	90.6156183379251	2323	78.5739606431318	2861	71.5604045659955	3576
TraesCS1A03G0046100	1	17	69.0909	385	61.7647	136	65.6036	439
TraesCS1A03G0046200	2	8	85.999968	150	89.03226	155	87.8980777070064	157
TraesCS1A03G0046500	1	1	57.1429	21	44.4444	27	25	28
TraesCS1A03G0046600	5	30	93.5484185483871	248	93.7694862928349	321	94.8423842406877	349
TraesCS1A03G0046900	1	4	27.9412	68	10.4167	96	14.8515	101
TraesCS1A03G0047200	1	2	77.7778	36	78.125	32	80	40
TraesCS1A03G0047300	2	5	93.3332866666666	45	97.9381360824742	97	98.3333125	120
TraesCS1A03G0047400	4	38	70.2744086890244	656	74.0890467746289	741	64.538179304447	877
TraesCS1A03G0047600	2	36	54.7970084870849	542	47.3394943119266	545	56.1475245901639	488
TraesCS1A03G0047800	1	2	38.6364	44	57.1429	21	30.7692	13
TraesCS1A03G0048100	8	216	89.2925031585597	3166	89.3526599659285	3522	87.3131175993165	4682
TraesCS1A03G0048800	1	150	95.0286	1750	94.3216	1673	95.9124	2055
TraesCS1A03G0048900	1	117	6.156	2859	10.7288	2703	13.1415	3059
TraesCS1A03G0049000	3	8	70.6349523809524	126	68.75	192	73.000012	200
TraesCS1A03G0049100	3	33	90.543768321513	423	88.6640050607288	494	92.490106916996	506
TraesCS1A03G0049300	4	289	88.6424061197221	3742	89.9250825145712	3603	87.0624691404519	4514
TraesCS1A03G0050000	3	17	91.6363549090909	275	87.9120483516484	273	88.9999916666667	300
TraesCS1A03G0050200	3	11	57.2115365384615	208	64.9402003984064	251	53.0172424137931	232
TraesCS1A03G0050800	1	16	94.7581	248	95.941	271	97.9651	344
TraesCS1A03G0051100	2	95	94.5174611079383	1751	93.4911490586337	1859	94.546190549542	2402
TraesCS1A03G0051900	2	5	85.8823647058824	85	83.65385	104	89.5652165217391	115
TraesCS1A03G0052000	1	2	71.7949	39	84.375	32	82.9268	41
TraesCS1A03G0052400	2	5	77.7777833333333	108	80.5085016949153	118	78.8079622516556	151
TraesCS1A03G0052700	1	19	93.0939	362	91.2727	275	95.0355	423
TraesCS1A03G0053000	2	6	43.4782590062112	161	55.294132	85	42.307701025641	156
TraesCS1A03G0053100	1	6	75	104	90	90	99.0385	104
TraesCS1A03G0053300	1	111	71.3031	1366	71.2911	1247	83.3333	1032
TraesCS1A03G0053400	1	6	20.4918	122	22.3602	161	8.03571	112
TraesCS1A03G0053600	2	5	69.8630164383562	146	68.9189054054054	74	67.27276	55
TraesCS1A03G0053800	4	58	93.8364733333333	795	95.7386225852273	704	95.1895214285714	686
TraesCS1A03G0053900	1	45	95.4162	829	96.1538	650	95.9311	639
