OG0013276	TraesPARA_EIv1.0_0073630.3	TraesCS1A03G0301200.1
OG0013277	TraesPARA_EIv1.0_0778910.1	TraesCS3A03G0093800.1
OG0013278	TraesPARA_EIv1.0_1259230.1	TraesCS4A03G0502100.1
OG0013279	TraesPARA_EIv1.0_1576790.1	TraesCS5A03G0533200.1
OG0013280	TraesPARA_EIv1.0_1550530.1	TraesCS5A03G0805500.1
OG0013281	TraesPARA_EIv1.0_0002140.1	TraesCS1A03G1059800.1
OG0013282	TraesPARA_EIv1.0_1580250.1	TraesCS5A03G0494400.1
OG0013283	TraesPARA_EIv1.0_1510620.1	TraesCS5A03G1223000.1
OG0013284	TraesPARA_EIv1.0_0331670.1	TraesCS2A03G1355400.1
OG0013285	TraesPARA_EIv1.0_2283900.1	TraesCS7A03G0586100.1
OG0013287	TraesPARA_EIv1.0_0833430.1	TraesCS3A03G0649700.1
OG0013288	TraesPARA_EIv1.0_2245230.1	TraesCS7A03G0194000.1
OG0013289	TraesPARA_EIv1.0_1214070.1	TraesCS4A03G0984400.1
OG0013290	TraesPARA_EIv1.0_0402230.1	TraesCS2A03G0620000.1
OG0013291	TraesPARA_EIv1.0_1967000.1	TraesCS6A03G0823600.1
OG0013292	TraesPARA_EIv1.0_0861960.1	TraesCS3A03G0949600.1
OG0013293	TraesPARA_EIv1.0_1514560.1	TraesCS5A03G1182700.1
OG0013294	TraesPARA_EIv1.0_1305270.4	TraesCS4A03G0008000.1
OG0013295	TraesPARA_EIv1.0_1236260.1	TraesCS4A03G0749100.1
OG0013296	TraesPARA_EIv1.0_0017350.1	TraesCS1A03G1003800.1
OG0013297	TraesPARA_EIv1.0_0060520.1	TraesCS1A03G0437100.1
OG0013298	TraesPARA_EIv1.0_0362780.1	TraesCS2A03G1033100.1
OG0013299	TraesPARA_EIv1.0_0025670.1	TraesCS1A03G0815300.1
OG0013300	TraesPARA_EIv1.0_0025670.2	TraesCS1A03G0815300.2
OG0013301	TraesPARA_EIv1.0_0465460.1	TraesCS2A03G0006500.1
OG0013302	TraesPARA_EIv1.0_0883750.1	TraesCS3A03G1170500.1
OG0013303	TraesPARA_EIv1.0_1915520.1	TraesCS6A03G0278800.1
OG0013304	TraesPARA_EIv1.0_1554120.1	TraesCS5A03G0769500.1
OG0013305	TraesPARA_EIv1.0_0872070.1	TraesCS3A03G1062000.1
OG0013306	TraesPARA_EIv1.0_1256590.1	TraesCS4A03G0529300.1
OG0013308	TraesPARA_EIv1.0_1297360.1	TraesCS4A03G0088800.1
OG0013309	TraesPARA_EIv1.0_1610140.1	TraesCS5A03G0171200.1
OG0013310	TraesPARA_EIv1.0_0039160.1	TraesCS1A03G0672100.1
OG0013311	TraesPARA_EIv1.0_1185130.1	TraesCS4A03G1225300.1
OG0013315	TraesPARA_EIv1.0_1241260.1	TraesCS4A03G0698200.1
