"CS_reference" "Paragon_reference" "Category"
"TraesCS1A03G0272200" "TraesPARA_EIv1.0_0076340" "Ambiguous"
"TraesCS1A03G0004900" "TraesPARA_EIv1.0_0102250" "Conserved"
"TraesCS1A03G0056600" "TraesPARA_EIv1.0_0097020" "Conserved"
"TraesCS1A03G0067500" "TraesPARA_EIv1.0_0096050" "Conserved"
"TraesCS1A03G0068100" "TraesPARA_EIv1.0_0096000" "Ambiguous"
"TraesCS1A03G0069100" "TraesPARA_EIv1.0_0095790" "Trans only"
"TraesCS1A03G0070900" "TraesPARA_EIv1.0_0095630" "Ambiguous"
"TraesCS1A03G0074000" "TraesPARA_EIv1.0_0095260" "Conserved"
"TraesCS1A03G0090000" "TraesPARA_EIv1.0_0093810" "Ambiguous"
"TraesCS1A03G0096600" "TraesPARA_EIv1.0_0093270" "Conserved"
"TraesCS1A03G0407200" "TraesPARA_EIv1.0_0063280" "Ambiguous"
"TraesCS1A03G0426600" "TraesPARA_EIv1.0_0061580" "Conserved"
"TraesCS1A03G0428400" "TraesPARA_EIv1.0_0061390" "Ambiguous"
"TraesCS1A03G0429000" "TraesPARA_EIv1.0_0061290" "Conserved"
"TraesCS1A03G0434100" "TraesPARA_EIv1.0_0060770" "Ambiguous"
"TraesCS1A03G0112500" "TraesPARA_EIv1.0_0091560" "Ambiguous"
"TraesCS1A03G0127800" "TraesPARA_EIv1.0_0090310" "Conserved"
"TraesCS1A03G0155800" "TraesPARA_EIv1.0_0087760" "Ambiguous"
"TraesCS1A03G0166400" "TraesPARA_EIv1.0_0086830" "Conserved"
"TraesCS1A03G0170700" "TraesPARA_EIv1.0_0086000" "Ambiguous"
"TraesCS1A03G0172300" "TraesPARA_EIv1.0_0085830" "Conserved"
"TraesCS1A03G0207500" "TraesPARA_EIv1.0_0082290" "Conserved"
"TraesCS1A03G0213700" "TraesPARA_EIv1.0_0081600" "Conserved"
"TraesCS1A03G0037900" "TraesPARA_EIv1.0_0098730" "Trans only"
"TraesCS1A03G0605700" "TraesPARA_EIv1.0_0045380" "Ambiguous"
"TraesCS1A03G0466600" "TraesPARA_EIv1.0_0057870" "Ambiguous"
"TraesCS1A03G0622500" "TraesPARA_EIv1.0_0043630" "Conserved"
"TraesCS1A03G0623400" "TraesPARA_EIv1.0_0043540" "Conserved"
"TraesCS1A03G0637300" "TraesPARA_EIv1.0_0042370" "Ambiguous"
"TraesCS1A03G0642700" "TraesPARA_EIv1.0_0042020" "Ambiguous"
"TraesCS1A03G0642800" "TraesPARA_EIv1.0_0042000" "Ambiguous"
"TraesCS1A03G0644400" "TraesPARA_EIv1.0_0041880" "Conserved"
"TraesCS1A03G0645000" "TraesPARA_EIv1.0_0041850" "Ambiguous"
