group_id,A,B,D,cardinality,synteny,group,chrs,origin
1,TraesCS1A02G007900,TraesCS1B02G011500,TraesCS1D02G000400,01:01:01,syntenic,triad,1,ABD
2,TraesCS1A02G007700,TraesCS1B02G011300,TraesCS1D02G000700,01:01:01,syntenic,triad,1,ABD
3,TraesCS1A02G007500,TraesCS1B02G011100,TraesCS1D02G000800,01:01:01,syntenic,triad,1,ABD
4,TraesCS1A02G007600,TraesCS1B02G011200,TraesCS1D02G000900,01:01:01,syntenic,triad,1,ABD
5,TraesCS1A02G005100,TraesCS1B02G006600,TraesCS1D02G001900,01:01:01,syntenic,triad,1,ABD
6,TraesCS1A02G005500,TraesCS1B02G007700,TraesCS1D02G002200,01:01:01,syntenic,triad,1,ABD
7,TraesCS1A02G005600,TraesCS1B02G007800,TraesCS1D02G002300,01:01:01,syntenic,triad,1,ABD
8,TraesCS1A02G005700,TraesCS1B02G007900,TraesCS1D02G002400,01:01:01,syntenic,triad,1,ABD
9,TraesCS1A02G005800,TraesCS1B02G008000,TraesCS1D02G002500,01:01:01,syntenic,triad,1,ABD
10,TraesCS1A02G005900,TraesCS1B02G008200,TraesCS1D02G002600,01:01:01,syntenic,triad,1,ABD
11,TraesCS1A02G004200,TraesCS1B02G005600,TraesCS1D02G003300,01:01:01,syntenic,triad,1,ABD
12,TraesCS1A02G001800,TraesCS1B02G000600,TraesCS1D02G003700,01:01:01,syntenic,triad,1,ABD
13,TraesCS1A02G001900,TraesCS1B02G000800,TraesCS1D02G003900,01:01:01,syntenic,triad,1,ABD
14,TraesCS1A02G002000,TraesCS1B02G000900,TraesCS1D02G004000,01:01:01,syntenic,triad,1,ABD
15,TraesCS1A02G002100,TraesCS1B02G001000,TraesCS1D02G004100,01:01:01,syntenic,triad,1,ABD
16,TraesCS1A02G002200,TraesCS1B02G001100,TraesCS1D02G004200,01:01:01,syntenic,triad,1,ABD
17,TraesCS1A02G002300,TraesCS1B02G001600,TraesCS1D02G004400,01:01:01,syntenic,triad,1,ABD
18,TraesCS1A02G002700,TraesCS1B02G002000,TraesCS1D02G004900,01:01:01,syntenic,triad,1,ABD
19,TraesCS1A02G010800,TraesCS1B02G013200,TraesCS1D02G006600,01:01:01,syntenic,triad,1,ABD
20,TraesCS1A02G008800,TraesCS1B02G013600,TraesCS1D02G007500,01:01:01,syntenic,triad,1,ABD
21,TraesCS1A02G009000,TraesCS1B02G013900,TraesCS1D02G007800,01:01:01,syntenic,triad,1,ABD
22,TraesCS1A02G010100,TraesCS1B02G013000,TraesCS1D02G008400,01:01:01,syntenic,triad,1,ABD
23,TraesCS1A02G009400,TraesCS1B02G014900,TraesCS1D02G009300,01:01:01,syntenic,triad,1,ABD
24,TraesCS1A02G011200,TraesCS1B02G037900,TraesCS1D02G010000,01:01:01,syntenic,triad,1,ABD
25,TraesCS1A02G011400,TraesCS1B02G016900,TraesCS1D02G010600,01:01:01,syntenic,triad,1,ABD
26,TraesCS1A02G012500,TraesCS1B02G017200,TraesCS1D02G010700,01:01:01,syntenic,triad,1,ABD
27,TraesCS1A02G012600,TraesCS1B02G017300,TraesCS1D02G010800,01:01:01,syntenic,triad,1,ABD
28,TraesCS1A02G013200,TraesCS1B02G012300,TraesCS1D02G011300,01:01:01,syntenic,triad,1,ABD
29,TraesCS1A02G013400,TraesCS1B02G017400,TraesCS1D02G011500,01:01:01,syntenic,triad,1,ABD
30,TraesCS1A02G013700,TraesCS1B02G017900,TraesCS1D02G011600,01:01:01,syntenic,triad,1,ABD
31,TraesCS1A02G013800,TraesCS1B02G017800,TraesCS1D02G011700,01:01:01,syntenic,triad,1,ABD
32,TraesCS1A02G014000,TraesCS1B02G018000,TraesCS1D02G011900,01:01:01,syntenic,triad,1,ABD
33,TraesCS1A02G012400,TraesCS7B02G243900,TraesCS1D02G012200,01:01:01,non_syntenic,triad,,ABD
34,TraesCS1A02G014800,TraesCS1B02G017700,TraesCS1D02G012600,01:01:01,syntenic,triad,1,ABD
35,TraesCS1A02G015200,TraesCS1B02G019200,TraesCS1D02G013100,01:01:01,syntenic,triad,1,ABD
36,TraesCS1A02G015300,TraesCS1B02G019100,TraesCS1D02G013200,01:01:01,syntenic,triad,1,ABD
37,TraesCS1A02G015500,TraesCS1B02G018800,TraesCS1D02G013400,01:01:01,syntenic,triad,1,ABD
38,TraesCS1A02G015800,TraesCS1B02G019800,TraesCS1D02G013700,01:01:01,syntenic,triad,1,ABD
39,TraesCS1A02G016100,TraesCS1B02G018300,TraesCS1D02G013900,01:01:01,syntenic,triad,1,ABD
40,TraesCS1A02G016300,TraesCS1B02G020200,TraesCS1D02G014900,01:01:01,syntenic,triad,1,ABD
41,TraesCS1A02G016900,TraesCS1B02G021300,TraesCS1D02G016500,01:01:01,syntenic,triad,1,ABD
42,TraesCS1A02G016400,TraesCS1B02G020400,TraesCS1D02G016900,01:01:01,syntenic,triad,1,ABD
43,TraesCS1A02G016800,TraesCS1B02G021400,TraesCS1D02G017200,01:01:01,syntenic,triad,1,ABD
44,TraesCS1A02G018000,TraesCS1B02G022400,TraesCS1D02G017800,01:01:01,syntenic,triad,1,ABD
45,TraesCS1A02G018700,TraesCS1B02G022500,TraesCS1D02G018100,01:01:01,syntenic,triad,1,ABD
46,TraesCS1A02G018900,TraesCS1B02G022700,TraesCS1D02G018200,01:01:01,syntenic,triad,1,ABD
47,TraesCS1A02G019000,TraesCS1B02G022800,TraesCS1D02G018300,01:01:01,syntenic,triad,1,ABD
48,TraesCS1A02G019200,TraesCS1B02G022900,TraesCS1D02G018400,01:01:01,syntenic,triad,1,ABD
49,TraesCS1A02G019900,TraesCS1B02G024000,TraesCS1D02G019400,01:01:01,syntenic,triad,1,ABD
50,TraesCS1A02G020300,TraesCS1B02G024300,TraesCS1D02G019800,01:01:01,syntenic,triad,1,ABD
51,TraesCS1A02G020400,TraesCS1B02G024400,TraesCS1D02G019900,01:01:01,syntenic,triad,1,ABD
52,TraesCS1A02G020500,TraesCS1B02G024500,TraesCS1D02G020000,01:01:01,syntenic,triad,1,ABD
53,TraesCS1A02G020600,TraesCS1B02G024600,TraesCS1D02G020100,01:01:01,syntenic,triad,1,ABD
54,TraesCS1A02G020700,TraesCS1B02G024700,TraesCS1D02G020200,01:01:01,syntenic,triad,1,ABD
55,TraesCS1A02G020800,TraesCS7B02G467000,TraesCS1D02G020400,01:01:01,non_syntenic,triad,,ABD
56,TraesCS1A02G022400,TraesCS1B02G026200,TraesCS1D02G022300,01:01:01,syntenic,triad,1,ABD
57,TraesCS1A02G023300,TraesCS1B02G029000,TraesCS1D02G022800,01:01:01,syntenic,triad,1,ABD
58,TraesCS1A02G023400,TraesCS1B02G029100,TraesCS1D02G022900,01:01:01,syntenic,triad,1,ABD
59,TraesCS1A02G023800,TraesCS1B02G030000,TraesCS1D02G023400,01:01:01,syntenic,triad,1,ABD
60,TraesCS1A02G024100,TraesCS1B02G030400,TraesCS1D02G024200,01:01:01,syntenic,triad,1,ABD
61,TraesCS1A02G024200,TraesCS1B02G030500,TraesCS1D02G024300,01:01:01,syntenic,triad,1,ABD
62,TraesCS1A02G024600,TraesCS1B02G031000,TraesCS1D02G024700,01:01:01,syntenic,triad,1,ABD
63,TraesCS1A02G024700,TraesCS1B02G031100,TraesCS1D02G024800,01:01:01,syntenic,triad,1,ABD
64,TraesCS1A02G025100,TraesCS1B02G031500,TraesCS1D02G025100,01:01:01,syntenic,triad,1,ABD
65,TraesCS5A02G553600,TraesCS1B02G064800,TraesCS1D02G025300,01:01:01,non_syntenic,triad,,ABD
66,TraesCS1A02G025200,TraesCS1B02G031600,TraesCS1D02G025400,01:01:01,syntenic,triad,1,ABD
67,TraesCS1A02G025700,TraesCS1B02G032600,TraesCS1D02G026100,01:01:01,syntenic,triad,1,ABD
68,TraesCS1A02G025900,TraesCS1B02G032500,TraesCS1D02G026200,01:01:01,syntenic,triad,1,ABD
69,TraesCS1A02G026000,TraesCS1B02G032400,TraesCS1D02G026300,01:01:01,syntenic,triad,1,ABD
70,TraesCS1A02G027300,TraesCS1B02G033200,TraesCS1D02G026500,01:01:01,syntenic,triad,1,ABD
71,TraesCS1A02G027600,TraesCS1B02G033500,TraesCS1D02G026800,01:01:01,syntenic,triad,1,ABD
72,TraesCS1A02G041700,TraesCS1B02G033700,TraesCS1D02G027200,01:01:01,syntenic,triad,1,ABD
73,TraesCS1A02G041600,TraesCS1B02G033800,TraesCS1D02G027300,01:01:01,syntenic,triad,1,ABD
74,TraesCS1A02G041400,TraesCS1B02G034000,TraesCS1D02G027400,01:01:01,syntenic,triad,1,ABD
75,TraesCS1A02G028700,TraesCS1B02G034500,TraesCS1D02G028200,01:01:01,syntenic,triad,1,ABD
76,TraesCS1A02G029200,TraesCS1B02G036400,TraesCS1D02G029400,01:01:01,syntenic,triad,1,ABD
77,TraesCS1A02G029300,TraesCS1B02G036500,TraesCS1D02G029500,01:01:01,syntenic,triad,1,ABD
78,TraesCS1A02G029400,TraesCS1B02G036600,TraesCS1D02G029600,01:01:01,syntenic,triad,1,ABD
79,TraesCS1A02G029800,TraesCS1B02G036900,TraesCS1D02G030300,01:01:01,syntenic,triad,1,ABD
80,TraesCS1A02G029900,TraesCS1B02G037000,TraesCS1D02G030400,01:01:01,syntenic,triad,1,ABD
81,TraesCS1A02G030100,TraesCS1B02G037100,TraesCS1D02G030600,01:01:01,syntenic,triad,1,ABD
82,TraesCS1A02G030200,TraesCS1B02G037200,TraesCS1D02G030700,01:01:01,syntenic,triad,1,ABD
83,TraesCS1A02G030300,TraesCS1B02G037400,TraesCS1D02G030800,01:01:01,syntenic,triad,1,ABD
