"A","B","D","group_id","cardinality","synteny","group","chrs","origin","hit_A","hit_B","hit_D","from","n_hits","direction"
"TraesCS1A03G0015700","TraesCS1B03G0015400","TraesCS1D03G0008600",6,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0016300","TraesCS1B03G0015900","TraesCS1D03G0008200",9,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0004000","TraesCS1B03G0001600","TraesCS1D03G0000100",12,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS1A03G0031500","TraesCS1B03G0035700","TraesCS1D03G0022700",26,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0033900","TraesCS1B03G0036800","TraesCS1D03G0024600",31,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0037000","TraesCS1B03G0038900","TraesCS1D03G0027500",35,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0037100","TraesCS1B03G0038800","TraesCS1D03G0027600",36,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0039500","TraesCS1B03G0042600","TraesCS1D03G0032700",41,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0043500","TraesCS1B03G0044800","TraesCS1D03G0035900",46,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0044000","TraesCS1B03G0045500","TraesCS1D03G0036100",48,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0046300","TraesCS1B03G0048800","TraesCS1D03G0038800",52,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0053400","TraesCS1B03G0058100","TraesCS1D03G0043500",58,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0054100","TraesCS1B03G0060300","TraesCS1D03G0044200",59,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0056600","TraesCS1B03G0062400","TraesCS1D03G0046600",63,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0057500","TraesCS1B03G0063100","TraesCS1D03G0046900",64,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0057600","TraesCS1B03G0063400","TraesCS1D03G0047600",66,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0059700","TraesCS1B03G0065400","TraesCS1D03G0049100",68,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0066600","TraesCS1B03G0073000","TraesCS1D03G0055500",77,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0068200","TraesCS1B03G0074500","TraesCS1D03G0058100",81,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0069100","TraesCS1B03G0075300","TraesCS1D03G0059800",86,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0069300","TraesCS1B03G0076300","TraesCS1D03G0060100",87,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0070800","TraesCS1B03G0078100","TraesCS1D03G0061500",91,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0070900","TraesCS1B03G0077900","TraesCS1D03G0061600",92,"01:01:01","syntenic","triad",1,"ABD",TRUE,FALSE,TRUE,"AD",2,"Up"
"TraesCS1A03G0073800","TraesCS1B03G0084600","TraesCS1D03G0064000",97,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0073700","TraesCS1B03G0084700","TraesCS1D03G0064100",98,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0074000","TraesCS1B03G0085000","TraesCS1D03G0065300",99,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0078200","TraesCS1B03G0094400","TraesCS1D03G0067900",103,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0084400","TraesCS1B03G0101300","TraesCS1D03G0074000",111,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0084800","TraesCS1B03G0101000","TraesCS1D03G0074200",112,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0089100","TraesCS1B03G0107500","TraesCS1D03G0078100",117,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0090000","TraesCS1B03G0109200","TraesCS1D03G0080000",121,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0096700","TraesCS1B03G0121200","TraesCS1D03G0083800",128,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0111500","TraesCS1B03G0143700","TraesCS1D03G0100100",164,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0112200","TraesCS1B03G0144000","TraesCS1D03G0101000",167,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0112500","TraesCS1B03G0145400","TraesCS1D03G0101300",168,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0118800","TraesCS1B03G0163500","TraesCS1D03G0111200",178,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0119600","TraesCS1B03G0164400","TraesCS1D03G0114000",180,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0125000","TraesCS1B03G0172700","TraesCS1D03G0118100",186,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0126000","TraesCS1B03G0173000","TraesCS1D03G0118300",188,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0127500","TraesCS1B03G0173600","TraesCS1D03G0118800",190,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0133900","TraesCS1B03G0181700","TraesCS1D03G0121800",195,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0134700","TraesCS1B03G0182400","TraesCS1D03G0122200",197,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0135500","TraesCS1B03G0183700","TraesCS1D03G0122800",199,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0135600","TraesCS1B03G0183800","TraesCS1D03G0122900",200,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0138300","TraesCS1B03G0187500","TraesCS1D03G0125400",209,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,TRUE,"BD",2,"Up"
"TraesCS1A03G0138900","TraesCS1B03G0188600","TraesCS1D03G0125900",210,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0139500","TraesCS1B03G0190500","TraesCS1D03G0127000",212,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0141400","TraesCS1B03G0192900","TraesCS1D03G0129100",215,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0142800","TraesCS1B03G0194400","TraesCS1D03G0130600",220,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0150700","TraesCS1B03G0202700","TraesCS1D03G0138400",236,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0155800","TraesCS1B03G0205900","TraesCS1D03G0143400",240,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0156300","TraesCS1B03G0206600","TraesCS1D03G0144300",241,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0160100","TraesCS1B03G0212900","TraesCS1D03G0148300",246,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0160500","TraesCS1B03G0213200","TraesCS1D03G0148700",247,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS1A03G0163300","TraesCS1B03G0216400","TraesCS1D03G0151500",257,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0164000","TraesCS1B03G0216900","TraesCS1D03G0152400",258,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0164300","TraesCS1B03G0217100","TraesCS1D03G0152700",259,"01:01:01","syntenic","triad",1,"ABD",FALSE,TRUE,FALSE,"B",1,"Up"
"TraesCS1A03G0164500","TraesCS1B03G0217600","TraesCS1D03G0152900",260,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0164800","TraesCS1B03G0218300","TraesCS1D03G0153100",261,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0165000","TraesCS1B03G0218600","TraesCS1D03G0153700",262,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0166300","TraesCS1B03G0219400","TraesCS1D03G0155300",263,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,FALSE,"AB",2,"Up"
"TraesCS1A03G0166600","TraesCS1B03G0222600","TraesCS1D03G0155500",264,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
"TraesCS1A03G0167300","TraesCS1B03G0222300","TraesCS1D03G0155800",266,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0170500","TraesCS1B03G0229300","TraesCS1D03G0165000",273,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0170900","TraesCS1B03G0230600","TraesCS1D03G0165600",275,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0172200","TraesCS1B03G0233100","TraesCS1D03G0166200",277,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0172300","TraesCS1B03G0233300","TraesCS1D03G0166300",278,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS4A03G0436700","TraesCS1B03G0239100","TraesCS1D03G0169800",285,"01:01:01","non_syntenic","triad",NA,"ABD",TRUE,FALSE,FALSE,"A",1,"Up"
"TraesCS1A03G0175300","TraesCS1B03G0239600","TraesCS1D03G0170500",286,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0175400","TraesCS1B03G0239900","TraesCS1D03G0170600",287,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0175800","TraesCS1B03G0240900","TraesCS1D03G0170700",288,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0176200","TraesCS1B03G0241000","TraesCS1D03G0171100",289,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0177500","TraesCS1B03G0244200","TraesCS1D03G0172800",291,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0178800","TraesCS1B03G0245000","TraesCS1D03G0174400",296,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0179100","TraesCS1B03G0244600","TraesCS1D03G0174800",297,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,TRUE,"D",1,"Up"
"TraesCS1A03G0180300","TraesCS1B03G0248200","TraesCS1D03G0177400",302,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0181200","TraesCS1B03G0248700","TraesCS1D03G0177800",303,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0181600","TraesCS1B03G0248900","TraesCS1D03G0178000",305,"01:01:01","syntenic","triad",1,"ABD",FALSE,FALSE,FALSE,"none",0,"Up"
"TraesCS1A03G0185500","TraesCS1B03G0252200","TraesCS1D03G0179100",308,"01:01:01","syntenic","triad",1,"ABD",TRUE,TRUE,TRUE,"ABD",3,"Up"
