CS11.A	CS11.B	CS11.D
TraesCS6A02G261300.1	TraesCS7B02G318600.1	"TraesCS4D02G166100.1, TraesCS6D02G013200.1, TraesCS7D02G330000.1"
TraesCS5A02G477700.1	"TraesCS7B02G324200.1, TraesCS6B02G370200.1, TraesCS4B02G273700.1, TraesCS4B02G273900.1, TraesCS1B02G211500.1, TraesCS3B02G298300.1"	"TraesCS4D02G354600.1, TraesCS2D02G383000.1"
TraesCS3A02G135900.1	TraesCS7B02G347500.1	"TraesCS7D02G214200.1, TraesCS5D02G128900.1, TraesCS7D02G366900.1"
TraesCS3A02G351900.1	TraesCS3B02G501800.1	"TraesCS5D02G264400.1, TraesCS3D02G102600.1"
TraesCS6A02G257800.1	"TraesCS7B02G263300.1, TraesCS6B02G380400.1, TraesCS7B02G213100.1"	TraesCS4D02G332400.1
"TraesCS4A02G261300.1, TraesCS3A02G486200.1"	"TraesCS7B02G043700.1, TraesCS6B02G143300.1"	"TraesCS3D02G000300.1, TraesCS3D02G536100.1, TraesCS4D02G302300.1"
TraesCS1A02G067400.1	TraesCS1B02G085900.1	TraesCS1D02G068400.1
TraesCS6A02G311600.1	"TraesCS6B02G341800.1, TraesCS1B02G084581.1"	TraesCS6D02G290900.1
TraesCS7A02G238400.1	TraesCS7B02G103400.1	TraesCS7D02G199500.1
TraesCS1A02G403300.1	TraesCS1B02G432700.1	TraesCS1D02G411300.1
TraesCS5A02G454200.1	TraesCS5B02G463100.1	TraesCS5D02G464900.1
TraesCS5A02G462100.1	TraesCS5B02G473100.1	TraesCS5D02G474800.1
TraesCS6A02G345900.1	TraesCS6B02G379300.1	TraesCS6D02G328600.1
TraesCS2A02G366300.1	TraesCS7B02G307400.1	TraesCS2D02G237100.1
"TraesCS2A02G516500.1, TraesCS2A02G516800.1, TraesCS2A02G516700.1"	TraesCS2B02G545300.1	TraesCS2D02G518300.1
TraesCS1A02G050200.1	"TraesCS1B02G066600.1, TraesCS1B02G066500.1"	TraesCS1D02G052500.1
TraesCS6A02G337100.4	TraesCS6B02G367800.1	TraesCS6D02G317700.1
TraesCS5A02G078000.1	TraesCS5B02G087700.4	TraesCS5D02G093900.1
TraesCS4A02G175100.1	TraesCS4B02G142400.1	TraesCS4D02G140800.1
TraesCS5A02G479300.1	TraesCS5B02G492500.1	TraesCS5D02G492900.2
TraesCS4A02G098600.1	TraesCS4B02G205700.1	TraesCS4D02G206600.1
TraesCS1A02G285000.2	TraesCS1B02G294300.1	TraesCS1D02G284000.2
TraesCS2A02G381100.1	TraesCS2B02G398400.1	"TraesCS2D02G377600.1, TraesCS2D02G377500.1"
TraesCS2A02G380800.1	TraesCS2B02G398000.2	TraesCS2D02G377200.1
TraesCS1A02G037800.1	TraesCS1B02G048500.1	TraesCS1D02G039500.1
TraesCS1A02G037700.1	"TraesCS5B02G468300.1, TraesCS1B02G048400.2"	TraesCS1D02G039400.1
TraesCS5A02G384300.1	TraesCS5B02G389100.1	TraesCS5D02G393900.1
TraesCS2A02G066800.1	TraesCS2B02G079200.1	TraesCS2D02G065200.1
"TraesCS2A02G066700.1, TraesCS2A02G066900.1"	"TraesCS2B02G079100.1, TraesCS2B02G079300.1"	"TraesCS2D02G065100.2, TraesCS2D02G065300.1"
"TraesCS2A02G532200.1, TraesCS2A02G531800.1"	TraesCS2B02G561400.1	"TraesCS2D02G533700.1, TraesCS2D02G533800.1"
TraesCS4A02G100400.1	TraesCS4B02G204100.1	TraesCS4D02G205000.1
"TraesCS4A02G100100.1, TraesCS4A02G100300.1"	TraesCS4B02G204200.1	TraesCS4D02G205100.1
TraesCS7A02G119000.1	TraesCS7B02G015400.1	"TraesCS7D02G115100.1, TraesCS7D02G114300.1"
TraesCS2A02G240600.1	"TraesCS3B02G486700.1, TraesCS7B02G396200.1"	"TraesCS7D02G255400.1, TraesCS5D02G457000.1, TraesCS7D02G301800.1, TraesCS1D02G183700.1"
TraesCS1A02G309700.1	TraesCS1B02G320800.1	TraesCS1D02G309200.1
